reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
90.156.230.134,4,-2,1.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
5.59.233.112,4,8,1c-kato.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
82.115.43.182,4,5,1stroitelny.kz,KZ,Asia,Central Asia,Kazakhstan,,,
185.22.65.97,4,-33,1stroitelny.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
2.134.13.123,4,-60,1tv.kz,KZ,Asia,Central Asia,Kazakhstan,Shymkent,,Shymkent
38.244.134.170,4,3,1wincasinoinkz.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
38.244.135.163,4,3,1xbet-kazakh.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
38.244.135.35,4,-5,1xbetonline.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
185.125.90.222,4,-1,1zoloto.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
82.115.48.204,4,-1,247travel.kz,KZ,Asia,Central Asia,Kazakhstan,,,
213.148.2.34,4,-1,2gis.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
213.148.2.82,4,-13,2gis.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
194.67.82.50,4,-35,2gis.kz,KZ,Asia,Central Asia,Kazakhstan,,,
94.247.128.156,4,-3,3dnews.kz,KZ,Asia,Central Asia,Kazakhstan,,,
185.116.195.214,4,21,3h.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
91.201.214.220,4,0,50-30-30.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
185.98.5.124,4,12,716.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
82.115.43.83,4,-5,aaq.kz,KZ,Asia,Central Asia,Kazakhstan,,,
89.46.33.74,4,-2,abai.kz,KZ,Asia,Central Asia,Kazakhstan,,,
91.215.136.130,4,-10,abdi.kz,KZ,Asia,Central Asia,Kazakhstan,,,
195.49.212.165,4,-1,access-education.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
77.240.39.152,4,-29,adata.kz,KZ,Asia,Central Asia,Kazakhstan,,,
77.240.39.151,4,-7,adata.kz,KZ,Asia,Central Asia,Kazakhstan,,,
83.222.7.34,4,68988,adti.uz,UZ,Asia,Central Asia,Uzbekistan,,,
77.246.247.48,4,-5,advanced.name,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
185.146.3.28,4,1,adyrna.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
151.236.196.172,4,9216496,agrotnk.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
194.146.42.60,4,1,aikyn.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
185.116.195.172,4,-4,aircharter.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
212.112.120.195,4,742,airport.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
185.98.5.102,4,-4,airvent.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
185.129.48.90,4,2,aisbdd.kz,KZ,Asia,Central Asia,Kazakhstan,Karaganda,,Karaganda
38.244.134.40,4,2,aisdpa.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
212.112.96.89,4,36,aknet.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.112.96.88,4,-2,aknet.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
212.112.96.87,4,-9,aknet.kg,KG,Asia,Central Asia,Kyrgyzstan,Gorod Bishkek,,Bishkek
185.98.5.218,4,-16,aktobetimes.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
89.218.2.114,4,15,alageum.com,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
91.201.214.133,4,0,alfarabius.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
94.158.210.104,4,-16,ali.click,UZ,Asia,Central Asia,Uzbekistan,,,
94.158.211.104,4,-11,ali.click,UZ,Asia,Central Asia,Uzbekistan,,,
94.158.209.104,4,-11,ali.click,UZ,Asia,Central Asia,Uzbekistan,,,
94.158.210.105,4,18,aliclick.shop,UZ,Asia,Central Asia,Uzbekistan,,,
94.158.209.106,4,8,aliclick.shop,UZ,Asia,Central Asia,Uzbekistan,,,
94.158.211.106,4,-3,aliclick.shop,UZ,Asia,Central Asia,Uzbekistan,,,
94.158.211.105,4,-2,aliclick.shop,UZ,Asia,Central Asia,Uzbekistan,,,
94.158.209.105,4,1,aliclick.shop,UZ,Asia,Central Asia,Uzbekistan,,,
185.98.5.138,4,7,allcom.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
31.210.175.137,4,-1,almajuice.kz,KZ,Asia,Central Asia,Kazakhstan,,,
185.100.64.51,4,735912,almatv.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
92.46.63.251,4,-45,almaty.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
38.244.135.140,4,0,almatydom.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
95.161.227.249,4,11897,almau.edu.kz,KZ,Asia,Central Asia,Kazakhstan,,,
185.129.48.88,4,-1,almavilla.kz,KZ,Asia,Central Asia,Kazakhstan,Karaganda,,Karaganda
109.248.199.211,4,-22,altyn-orda.kz,KZ,Asia,Central Asia,Kazakhstan,Karaganda,,Karaganda
176.126.166.85,4,2,amanat-invest.kg,KG,Asia,Central Asia,Kyrgyzstan,,,
185.98.5.104,4,-8,amirsana.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
92.46.220.128,4,3,anpz.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
185.99.126.126,4,7,apa.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
89.218.72.238,4,21,apartamenty.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
38.244.134.242,4,-4,apolitcol.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
194.146.42.19,4,-7,apteka.com,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
185.125.90.158,4,-3,aptekaplus.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
185.98.5.228,4,-20,aquatic.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
91.212.89.54,4,-563420,arbuz.uz,UZ,Asia,Central Asia,Uzbekistan,,,
185.98.5.189,4,-8,argymaq.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
195.49.215.160,4,-2,arnapress.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
83.69.137.3,4,3,arthotelsgroup.uz,UZ,Asia,Central Asia,Uzbekistan,,,
91.201.215.167,4,294561,asia.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
38.244.135.206,4,-7,asnur.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
194.146.41.100,4,-11,astanaairport.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
109.248.198.130,4,16,astanahub.com,KZ,Asia,Central Asia,Kazakhstan,Karaganda,,Karaganda
185.98.7.4,4,-16,astanatv.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
78.40.108.153,4,-6,atameken.kz,KZ,Asia,Central Asia,Kazakhstan,,,
38.244.135.154,4,-9,atoz.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
178.89.187.107,4,-16,atpress.kz,KZ,Asia,Central Asia,Kazakhstan,Karaganda,,Karaganda
185.116.195.203,4,-58,atu.edu.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
95.141.135.237,4,-23,auezov.edu.kz,KZ,Asia,Central Asia,Kazakhstan,West Kazakhstan,,Oral
38.244.135.144,4,-16,autohelp.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
91.147.92.238,4,-8,avi.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
185.100.67.8,4,-11,avtomatika.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
185.234.114.60,4,3,ayacom.kz,KZ,Asia,Central Asia,Kazakhstan,,,
91.185.7.254,4,3613681,ayagoz-roo.kz,KZ,Asia,Central Asia,Kazakhstan,Astana,,Astana
95.58.21.77,4,-19076,ayu.edu.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
194.146.42.102,4,-9,azattyq-ruhy.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
194.146.42.82,4,-4,azattyq-ruhy.kz,KZ,Asia,Central Asia,Kazakhstan,Almaty,,Almaty
89.219.32.139,4,-4,azh.kz,KZ,Asia,Central Asia,Kazakhstan,,,
