reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
185.55.227.78,4,7,110host.ir,IR,Asia,Southern Asia,Iran,,,
80.249.115.157,4,3,20i.ir,IR,Asia,Southern Asia,Iran,,,
185.49.84.237,4,179,20script.ir,IR,Asia,Southern Asia,Iran,,,
185.49.85.38,4,175,2ad.ir,IR,Asia,Southern Asia,Iran,,,
45.144.19.85,4,61111,30book.com,IR,Asia,Southern Asia,Iran,,,
185.49.85.41,4,3,3dupstudio.net,IR,Asia,Southern Asia,Iran,,,
65.20.76.97,4,-13,3nions.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
87.236.209.90,4,9,3tarebaran.ir,IR,Asia,Southern Asia,Iran,,,
217.21.84.56,4,-32,44phone.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
159.89.160.208,4,-4,4seohelp.com,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
27.0.235.36,4,3,727895.com,IN,Asia,Southern Asia,India,Uttar Pradesh,,Noida
27.0.235.55,4,10,727895.com,IN,Asia,Southern Asia,India,Uttar Pradesh,,Noida
27.0.235.160,4,0,727895.com,IN,Asia,Southern Asia,India,Uttar Pradesh,,Noida
27.0.235.49,4,11,727895.com,IN,Asia,Southern Asia,India,Uttar Pradesh,,Noida
143.110.250.44,4,-14,7chakrasyogaschool.com,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
154.41.234.88,4,-22,7eventzz.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
103.13.113.50,4,-36,82bet.online,IN,Asia,Southern Asia,India,Maharashtra,,Panvel
157.173.216.33,4,-24,82lottery.in,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
165.232.179.213,4,-13,888starz.in,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
13.126.165.67,4,-2,91-cdn.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
185.211.57.7,4,635,9191.ir,IR,Asia,Southern Asia,Iran,Tehran,,Tehran
103.63.31.132,4,4,97win.fyi,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
178.16.136.98,4,-22,988betvn.net,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
143.110.185.91,4,-1,99employee.com,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
101.53.148.136,4,974,99pandit.com,IN,Asia,Southern Asia,India,,,
3.108.140.77,4,-2,aaft.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
82.112.228.17,4,-23,aahanagroups.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
165.232.181.197,4,-1,aamaadmiparty.org,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
139.84.167.159,4,-15,aapc.org,IN,Asia,Southern Asia,India,Uttar Pradesh,,Noida
217.21.85.119,4,-22,abcrnews.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
93.127.208.100,4,-21,abhira.in,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
185.142.156.133,4,3,abna24.com,IR,Asia,Southern Asia,Iran,,,
91.108.107.75,4,-21,abookmarking.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
5.144.130.159,4,-38815,abrarnews.com,IR,Asia,Southern Asia,Iran,Tehran,,Tehran
89.235.79.24,4,321902,account4all.ir,IR,Asia,Southern Asia,Iran,Tehran,,Tehran
143.244.135.64,4,-5,accurategraphics.net,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
103.74.54.30,4,6,aceinternational.edu.in,IN,Asia,Southern Asia,India,,,
103.171.180.105,4,-20,acharya.ac.in,IN,Asia,Southern Asia,India,,,
89.117.157.92,4,-8,acharyamarathecollege.in,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
180.179.213.201,4,5722,achrweb.org,IN,Asia,Southern Asia,India,,,
144.126.255.89,4,-8,acma.in,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
89.117.245.193,4,-15,actascientific.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
82.112.232.32,4,-20,actlings.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
114.143.200.242,4,-187104,actrec.gov.in,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
14.139.127.177,4,-187134,actrec.gov.in,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
13.234.95.152,4,-7,adgully.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
103.159.84.51,4,-18,adigitalblogger.com,IN,Asia,Southern Asia,India,,,
193.203.185.56,4,-14,adityaravishankar.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
103.20.212.17,4,24,adrpublications.in,IN,Asia,Southern Asia,India,Haryana,,Faridabad
89.117.188.220,4,11,ads2day.in,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
217.21.95.120,4,10,adswel.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
103.180.163.120,4,-26,aegisinfoways.com,IN,Asia,Southern Asia,India,Maharashtra,,Panvel
45.92.92.144,4,14558,afffb.com,IR,Asia,Southern Asia,Iran,Tehran,,Tehran
45.135.241.131,4,6,aftabeghtesad.com,IR,Asia,Southern Asia,Iran,,,
185.142.158.194,4,7,aftabevarzeshi.ir,IR,Asia,Southern Asia,Iran,,,
194.41.49.31,4,-9,aftabnews.ir,IR,Asia,Southern Asia,Iran,,,
185.120.221.253,4,529,afzoneha.com,IR,Asia,Southern Asia,Iran,,,
216.10.243.81,4,1415,agarwalpackers.com,IN,Asia,Southern Asia,India,,,
103.174.102.178,4,-18,agilecoach.in,IN,Asia,Southern Asia,India,,,
103.224.246.33,4,-18,aglasiangranito.com,IN,Asia,Southern Asia,India,,,
139.84.171.47,4,-2,agtcouae.co,IN,Asia,Southern Asia,India,Uttar Pradesh,,Noida
185.53.143.211,4,4,ahuradetector.com,IR,Asia,Southern Asia,Iran,,,
82.112.239.138,4,-21,aifpa.net,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
203.115.96.82,4,-15,aiims.edu,IN,Asia,Southern Asia,India,Uttar Pradesh,,Greater Noida
117.239.163.130,4,-22,aiimsjodhpur.edu.in,IN,Asia,Southern Asia,India,Kerala,,Kochi
117.236.175.52,4,205599,aiimsnagpur.edu.in,IN,Asia,Southern Asia,India,,,
139.59.38.88,4,-3,aileensoul.com,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
89.117.157.223,4,-14,ainetx.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
185.129.168.35,4,35,aira.ir,IR,Asia,Southern Asia,Iran,,,
193.203.186.77,4,-20,airlinerpro.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
159.89.164.149,4,-14,aiuweb.org,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
91.108.107.244,4,-24,ajankari.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
49.50.81.199,4,28,ajer.org,IN,Asia,Southern Asia,India,,,
210.56.9.108,4,2505,ajk.gov.pk,PK,Asia,Southern Asia,Pakistan,Islamabad,,Islamabad
103.138.150.6,4,1283,ajkalbazar.xyz,BD,Asia,Southern Asia,Bangladesh,,,
210.2.169.180,4,-39,ajku.edu.pk,PK,Asia,Southern Asia,Pakistan,,,
154.61.76.78,4,-33,akclinics.org,IN,Asia,Southern Asia,India,,,
79.175.170.215,4,14,akharinkhabar.ir,IR,Asia,Southern Asia,Iran,,,
185.120.222.171,4,180,akharinnews.com,IR,Asia,Southern Asia,Iran,,,
185.129.168.51,4,327,akkasee.com,IR,Asia,Southern Asia,Iran,,,
103.187.238.15,4,-22,akshayapatra.org,IN,Asia,Southern Asia,India,,,
103.20.212.67,4,5,aliah.ac.in,IN,Asia,Southern Asia,India,Haryana,,Faridabad
119.159.226.57,4,45,allamaiqbal.com,PK,Asia,Southern Asia,Pakistan,Punjab,,Gujrat
103.73.188.189,4,-17,allduniv.ac.in,IN,Asia,Southern Asia,India,,,
89.117.157.12,4,1,alletec.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
14.128.14.5,4,109,allfreead.com,BD,Asia,Southern Asia,Bangladesh,,,
86.38.243.233,4,-21,allindiaescort.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
103.115.19.90,4,-30,allindiajobalerts.in,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
103.159.36.162,4,44,allresultbd.com,BD,Asia,Southern Asia,Bangladesh,,,
217.21.87.117,4,-13434,allsocialpannal.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
195.28.169.77,4,10,alosalammoshaver.ir,IR,Asia,Southern Asia,Iran,,,
43.204.245.114,4,35,altbalaji.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
194.195.112.127,4,74,altnews.in,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
217.218.56.33,4,4272,alzahra.ac.ir,IR,Asia,Southern Asia,Iran,Tehran,,Tehran
82.112.228.22,4,-25,amodinisystems.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
185.165.116.19,4,20,amolemrooz.ir,IR,Asia,Southern Asia,Iran,,,
148.113.20.118,4,-6,amrapalijewels.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
157.173.216.90,4,-18,amrutdistilleries.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
202.191.132.133,4,321,amul.com,IN,Asia,Southern Asia,India,,,
94.182.146.105,4,9,ana.ir,IR,Asia,Southern Asia,Iran,,,
13.235.204.31,4,26,analyticssteps.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
82.180.143.156,4,-4,anandgholap.net,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
139.59.87.96,4,21,anandology.com,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
143.110.254.71,4,-14,andamanhotels.in,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
216.10.249.163,4,-24,andamanworldtravels.com,IN,Asia,Southern Asia,India,,,
45.139.11.181,4,75,andishebooks.com,IR,Asia,Southern Asia,Iran,,,
217.21.89.159,4,26,androidnations.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
5.63.13.25,4,17,anjammidam.com,IR,Asia,Southern Asia,Iran,Tehran,,Tehran
216.10.251.12,4,-19,annexpublishers.com,IN,Asia,Southern Asia,India,,,
195.28.168.12,4,7,anthropology.ir,IR,Asia,Southern Asia,Iran,,,
219.90.67.45,4,82,apac.edu.au,IN,Asia,Southern Asia,India,,,
185.147.178.14,4,2,aparat.com,IR,Asia,Southern Asia,Iran,,,
185.147.178.11,4,3,aparat.com,IR,Asia,Southern Asia,Iran,,,
185.147.178.13,4,12,aparat.com,IR,Asia,Southern Asia,Iran,,,
185.147.178.12,4,18,aparat.com,IR,Asia,Southern Asia,Iran,,,
221.120.217.90,4,-25,apksoftinc.com,PK,Asia,Southern Asia,Pakistan,Punjab,,Gujranwala
3.7.88.134,4,-165,appaswamy.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
217.21.83.139,4,-18,appdividend.com,IN,Asia,Southern Asia,India,National Capital Territory of Delhi,,New Delhi
3.6.24.4,4,14,appicial.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
82.112.229.14,4,-20,apressthemes.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
68.233.114.111,4,-13,aqi.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
165.22.216.116,4,-4,arabiangambler.com,IN,Asia,Southern Asia,India,Karnataka,,Bengaluru
94.182.178.111,4,65,aranika.com,IR,Asia,Southern Asia,Iran,,,
88.222.246.98,4,-23,archiesonline.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
185.120.222.166,4,537,arga-mag.com,IR,Asia,Southern Asia,Iran,,,
185.164.72.41,4,1688,arioo.ir,IR,Asia,Southern Asia,Iran,,,
185.191.78.28,4,-16201683,ariosazeh.com,IR,Asia,Southern Asia,Iran,,,
195.28.10.103,4,48,armandaily.ir,IR,Asia,Southern Asia,Iran,,,
103.191.208.89,4,22,arnin.in,IN,Asia,Southern Asia,India,,,
89.117.188.207,4,-16,aromasofcoorg.com,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
178.16.136.234,4,-21,aroomittal.in,IN,Asia,Southern Asia,India,Maharashtra,,Mumbai
