reflector_ip,ip_version,description,country_code,country_name,region,sub_region
185.56.74.147,4,1202.org.il,IL,Israel,Asia,Western Asia
171.22.184.46,4,15dayforecast.net,TR,Turkey,Asia,Western Asia
185.162.18.37,4,24sports.com.cy,CY,Cyprus,Asia,Western Asia
37.148.210.86,4,3boyutlubaski.com,TR,Turkey,Asia,Western Asia
185.179.24.113,4,40ikindi.com,TR,Turkey,Asia,Western Asia
95.173.161.190,4,46arti.com,TR,Turkey,Asia,Western Asia
156.247.63.55,4,56980.cc,SA,Saudi Arabia,Asia,Western Asia
156.247.63.58,4,56980.cc,SA,Saudi Arabia,Asia,Western Asia
5.100.156.139,4,5minuteenglish.com,TR,Turkey,Asia,Western Asia
5.100.156.31,4,5minuteenglish.com,TR,Turkey,Asia,Western Asia
185.124.85.172,4,ab-ilan.com,TR,Turkey,Asia,Western Asia
82.80.253.22,4,acpr.org.il,IL,Israel,Asia,Western Asia
81.218.83.70,4,activestills.org,IL,Israel,Asia,Western Asia
94.140.14.14,4,AdGuard,CY,Cyprus,Asia,Western Asia
94.140.15.15,4,AdGuard,CY,Cyprus,Asia,Western Asia
94.140.14.15,4,AdGuard Family,CY,Cyprus,Asia,Western Asia
94.140.15.16,4,AdGuard Family,CY,Cyprus,Asia,Western Asia
94.140.14.140,4,AdGuard Unfiltered,CY,Cyprus,Asia,Western Asia
94.140.14.141,4,AdGuard Unfiltered,CY,Cyprus,Asia,Western Asia
31.186.11.5,4,adhood.com,TR,Turkey,Asia,Western Asia
5.100.253.198,4,adnart.com,IL,Israel,Asia,Western Asia
77.223.141.17,4,adresgezgini.com,TR,Turkey,Asia,Western Asia
185.18.206.241,4,adva.org,IL,Israel,Asia,Western Asia
47.91.114.180,4,africabusinessheroes.org,AE,United Arab Emirates,Asia,Western Asia
185.86.7.120,4,akinsoft.com.tr,TR,Turkey,Asia,Western Asia
213.238.190.20,4,akmesegrup.com,TR,Turkey,Asia,Western Asia
5.2.84.226,4,akvaryumportali.com,TR,Turkey,Asia,Western Asia
185.85.207.122,4,alanya.bel.tr,TR,Turkey,Asia,Western Asia
5.2.80.35,4,alastyr.com,TR,Turkey,Asia,Western Asia
185.87.26.187,4,allalci.com,TR,Turkey,Asia,Western Asia
66.22.84.26,4,alljobs.co.il,IL,Israel,Asia,Western Asia
81.218.83.103,4,alooma.tv,IL,Israel,Asia,Western Asia
89.252.159.145,4,alperencinar.com,TR,Turkey,Asia,Western Asia
5.250.251.14,4,alterradyator.com.tr,TR,Turkey,Asia,Western Asia
46.234.29.115,4,altinbas.edu.tr,TR,Turkey,Asia,Western Asia
38.134.113.246,4,americasbestpics.com,CY,Cyprus,Asia,Western Asia
45.151.250.72,4,anatolianlgs.com,TR,Turkey,Asia,Western Asia
217.195.206.58,4,anayasa.gen.tr,TR,Turkey,Asia,Western Asia
77.223.152.38,4,ankamet.com,TR,Turkey,Asia,Western Asia
93.177.103.108,4,anlamlisozler.net,TR,Turkey,Asia,Western Asia
95.173.189.51,4,antalyaaquarium.com,TR,Turkey,Asia,Western Asia
104.247.173.252,4,antalyatekniktemizlik.com.tr,TR,Turkey,Asia,Western Asia
104.247.165.99,4,antikaalanlar.com.tr,TR,Turkey,Asia,Western Asia
45.84.190.82,4,antikaesyaalanlar.web.tr,TR,Turkey,Asia,Western Asia
188.93.95.22,4,apa.gov.ge,GE,Georgia,Asia,Western Asia
213.169.148.156,4,aphroditehills.com,CY,Cyprus,Asia,Western Asia
77.223.141.21,4,aquafantasy.com,TR,Turkey,Asia,Western Asia
34.166.77.54,4,ara.tv,SA,Saudi Arabia,Asia,Western Asia
78.142.208.77,4,aracarizasi.com,TR,Turkey,Asia,Western Asia
213.238.183.31,4,arasmotokurye.com,TR,Turkey,Asia,Western Asia
185.56.75.80,4,arberobotics.com,IL,Israel,Asia,Western Asia
81.218.117.82,4,archives.gov.il,IL,Israel,Asia,Western Asia
158.101.244.137,4,arib.com.sa,SA,Saudi Arabia,Asia,Western Asia
88.218.116.187,4,arims.org.il,IL,Israel,Asia,Western Asia
185.124.85.148,4,arka-bahce.org,TR,Turkey,Asia,Western Asia
185.99.199.203,4,arkeofili.com,TR,Turkey,Asia,Western Asia
185.57.68.12,4,arminco.com,AM,Armenia,Asia,Western Asia
185.57.68.15,4,arpinet.am,AM,Armenia,Asia,Western Asia
193.223.76.70,4,arvento.com,TR,Turkey,Asia,Western Asia
185.169.52.40,4,aslitarcanclinic.com,TR,Turkey,Asia,Western Asia
212.150.130.237,4,asoccer.co.il,IL,Israel,Asia,Western Asia
46.31.79.106,4,asofood.com,TR,Turkey,Asia,Western Asia
72.10.160.82,4,aspq.org,TR,Turkey,Asia,Western Asia
185.136.206.71,4,atasehirkarotcu.com.tr,TR,Turkey,Asia,Western Asia
5.2.85.136,4,atlasmovers.com.tr,TR,Turkey,Asia,Western Asia
2.59.117.222,4,avim.org.tr,TR,Turkey,Asia,Western Asia
88.218.117.143,4,aviram.co.il,IL,Israel,Asia,Western Asia
50.28.1.85,4,awai.com,CY,Cyprus,Asia,Western Asia
85.111.48.119,4,ayakkabidunyasi.com.tr,TR,Turkey,Asia,Western Asia
185.171.24.111,4,ayrancimetal.com,TR,Turkey,Asia,Western Asia
89.252.183.249,4,ayslojistik.com,TR,Turkey,Asia,Western Asia
83.150.213.58,4,aytastarim.net,TR,Turkey,Asia,Western Asia
217.195.196.78,4,aytor.com,TR,Turkey,Asia,Western Asia
85.132.122.26,4,azstat.org,AZ,Azerbaijan,Asia,Western Asia
78.142.208.85,4,banabirmasaj.com,TR,Turkey,Asia,Western Asia
213.159.30.131,4,basinlistem.com,TR,Turkey,Asia,Western Asia
45.143.4.139,4,basinturu.news,TR,Turkey,Asia,Western Asia
91.239.207.147,4,batumi.ge,GE,Georgia,Asia,Western Asia
185.108.148.164,4,bauhaus-center.com,IL,Israel,Asia,Western Asia
104.247.167.50,4,bence.net,TR,Turkey,Asia,Western Asia
5.252.97.110,4,besatime.com,TR,Turkey,Asia,Western Asia
5.250.242.52,4,bessogutma.com,TR,Turkey,Asia,Western Asia
192.116.4.50,4,bethlehem.edu,IL,Israel,Asia,Western Asia
188.132.193.52,4,beylikduzutabelaci.com,TR,Turkey,Asia,Western Asia
37.247.115.40,4,bgmonline.net,TR,Turkey,Asia,Western Asia
185.56.74.69,4,bgu.co.il,IL,Israel,Asia,Western Asia
80.253.246.246,4,bib.az,TR,Turkey,Asia,Western Asia
85.132.44.43,4,big.az,AZ,Azerbaijan,Asia,Western Asia
89.252.134.35,4,bilcod.com,TR,Turkey,Asia,Western Asia
84.54.13.119,4,bilgi360.com.tr,TR,Turkey,Asia,Western Asia
185.226.161.16,4,bilgimak.net,TR,Turkey,Asia,Western Asia
195.238.120.202,4,bimkom.org,IL,Israel,Asia,Western Asia
185.126.219.187,4,bingolburada.com,TR,Turkey,Asia,Western Asia
91.212.213.18,4,binuli.ge,GE,Georgia,Asia,Western Asia
5.100.255.33,4,birds.org.il,IL,Israel,Asia,Western Asia
185.220.206.88,4,bitheikuren.com,IL,Israel,Asia,Western Asia
185.241.6.211,4,bizportal.co.il,IL,Israel,Asia,Western Asia
81.218.117.73,4,blmj.org,IL,Israel,Asia,Western Asia
37.58.16.91,4,bodo.com,TR,Turkey,Asia,Western Asia
213.238.190.115,4,bodrum.bel.tr,TR,Turkey,Asia,Western Asia
31.168.170.43,4,booknet.co.il,IL,Israel,Asia,Western Asia
212.72.155.164,4,borjomi.com,GE,Georgia,Asia,Western Asia
89.252.187.192,4,borsafix.com,TR,Turkey,Asia,Western Asia
2.56.62.236,4,boxbilisim.com,TR,Turkey,Asia,Western Asia
45.84.191.3,4,bozkurtantrepo.com,TR,Turkey,Asia,Western Asia
185.56.73.50,4,breslev.co.il,IL,Israel,Asia,Western Asia
79.171.16.250,4,brgk.org.tr,TR,Turkey,Asia,Western Asia
185.86.165.174,4,brostranslation.com,TR,Turkey,Asia,Western Asia
93.187.207.237,4,bsimuhendislik.com,TR,Turkey,Asia,Western Asia
91.239.207.198,4,bsu.edu.ge,GE,Georgia,Asia,Western Asia
104.247.167.166,4,bthaber.com,TR,Turkey,Asia,Western Asia
31.168.170.45,4,bug.co.il,IL,Israel,Asia,Western Asia
185.42.173.107,4,bursammo.com,TR,Turkey,Asia,Western Asia
89.252.182.227,4,busenasaglik.com,TR,Turkey,Asia,Western Asia
89.252.188.86,4,busser.com.tr,TR,Turkey,Asia,Western Asia
104.247.161.227,4,buycialisonli.com,TR,Turkey,Asia,Western Asia
91.151.95.70,4,buyfollowernow.com,TR,Turkey,Asia,Western Asia
213.238.183.89,4,caddesaat.com,TR,Turkey,Asia,Western Asia
159.253.44.174,4,cag.edu.tr,TR,Turkey,Asia,Western Asia
5.2.85.161,4,cagalogluhamami.com.tr,TR,Turkey,Asia,Western Asia
94.20.47.170,4,camera.az,AZ,Azerbaijan,Asia,Western Asia
31.186.23.131,4,campaigntr.com,TR,Turkey,Asia,Western Asia
185.92.2.7,4,canakkale.bel.tr,TR,Turkey,Asia,Western Asia
89.252.183.243,4,canakkaleaynalipazar.com,TR,Turkey,Asia,Western Asia
45.155.159.28,4,canakkaleolay.com,TR,Turkey,Asia,Western Asia
5.180.184.231,4,carasrentacar.com,TR,Turkey,Asia,Western Asia
185.108.148.81,4,carmelwines.co.il,IL,Israel,Asia,Western Asia
50.28.1.116,4,caseclub.com,CY,Cyprus,Asia,Western Asia
181.214.154.36,4,caykurrizespor.org.tr,TR,Turkey,Asia,Western Asia
15.184.254.14,4,cbb.gov.bh,BH,Bahrain,Asia,Western Asia
