reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
103.142.21.66,4,-10,banktapeunadana.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.165.43.10,4,57298,DNS Server: 10.43.165.103.net.iforte.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
89.213.211.226,4,-6,fohmint.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
89.213.211.215,4,2,lolasix.info,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
139.228.39.18,4,264,Ookla Speedtest Server 4802: sby-speedtest.link.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.20.91.130,4,213,Ookla Speedtest Server 55755: sp02-sby.cloudraya.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.179.217.14,4,555,Ookla Speedtest Server 57415: speedtestsby.ldm.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.220.22.42,4,301,Ookla Speedtest Server 58272: estt.fazanetwork.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
202.6.233.140,4,407,Ookla Speedtest Server 58395: speedtest-sby.padinet.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.215.229.29,4,182,Ookla Speedtest Server 62263: speedtest-sub.herzacloud.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.174.66.35,4,63381,Ookla Speedtest Server 63219: speedtest.sby.act.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.235.153.83,4,343,Ookla Speedtest Server 64378: ookla-sby.maxindo.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
89.213.211.250,4,34,parre.org,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
89.213.211.210,4,18,restaurantlacassoleta.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
202.148.12.230,4,19,tac.link,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
210.57.208.253,4,12,unair.ac.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
