reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
103.142.21.66,4,-10,banktapeunadana.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.155.246.69,4,0,DNS Server: amn-246-69.amanna.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Sukoharjo
202.6.235.131,4,-1193,karuniamedicalclinic.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
178.83.188.195,4,-18,nusantaraglobal.ac.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
139.228.39.18,4,34,Ookla Speedtest Server 4802: sby-speedtest.link.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
203.89.31.138,4,20,Ookla Speedtest Server 4958: spd-sub.datautama.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
160.22.217.10,4,-8,Ookla Speedtest Server 12754: speedtest.lintasmediasolusindo.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Malang
103.209.250.82,4,31,Ookla Speedtest Server 13210: speedtestsby.yesnet.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.163.13.98,4,-4,Ookla Speedtest Server 14069: speedtest.simtel.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Bojonegoro
103.124.137.169,4,-4763,Ookla Speedtest Server 16360: kediri.cellolink.my.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Kediri
117.18.20.26,4,-83289,Ookla Speedtest Server 16480: surabaya.databuana.my.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.232.20.114,4,19,Ookla Speedtest Server 18088: speedtest1.tenetindo.net,ID,Asia,South-eastern Asia,Indonesia,East Java,,Pasuruan
115.178.181.201,4,0,Ookla Speedtest Server 23161: sby1-speedtest.smartfren.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.53.76.25,4,2,Ookla Speedtest Server 25898: speedtest-sby.inti.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
182.23.98.58,4,10,Ookla Speedtest Server 31188: speedtest-eir.idola.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.88.171.238,4,-5,Ookla Speedtest Server 36502: v92.faznet.co.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
114.5.9.166,4,-30358,Ookla Speedtest Server 36699: speedtest2.indosatooredoo.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
114.5.9.162,4,-2977113,Ookla Speedtest Server 36700: speedtest3.indosatooredoo.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
202.65.123.22,4,8,Ookla Speedtest Server 36813: speedtest2.solo.citra.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Sukoharjo
103.88.169.222,4,14,Ookla Speedtest Server 37186: v93.faznet.co.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
154.47.151.237,4,307183,Ookla Speedtest Server 37697: v95.faznet.co.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.159.96.46,4,9,Ookla Speedtest Server 38615: speedtestbwy.myriseid.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Banyuwangi
202.6.229.10,4,1,Ookla Speedtest Server 40010: speedtest-jkt.padinet.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.158.13.143,4,8,Ookla Speedtest Server 42490: gmdpspeedtest.com,ID,Asia,South-eastern Asia,Indonesia,East Java,,Bojonegoro
103.124.138.26,4,52395,Ookla Speedtest Server 42491: speedtest-kediri.gmdp.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Kediri
103.15.214.15,4,-3,Ookla Speedtest Server 45450: speedtest-gresik.nusantara.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Gresik
158.140.186.73,4,-18,Ookla Speedtest Server 46071: speedtest.malang.myrepublic.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Malang
158.140.186.79,4,2047989,Ookla Speedtest Server 46091: speedtest.surabaya.myrepublic.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
103.166.125.66,4,5,Ookla Speedtest Server 47064: speedtest-tuban.lhost.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Kabupaten Tuban
103.106.219.38,4,-4,Ookla Speedtest Server 47122: speedtest.aldm.link,ID,Asia,South-eastern Asia,Indonesia,East Java,,Pasuruan
157.66.174.242,4,41,Ookla Speedtest Server 48198: oklamjkt.winartha.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Mojokerto
103.124.138.165,4,5,Ookla Speedtest Server 51220: speedtest-gresik.gmdp.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Gresik
103.189.121.34,4,16,Ookla Speedtest Server 53594: sptmdn.dbn.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Madiun
103.182.52.186,4,-22,Ookla Speedtest Server 54664: speedtest.gonethome.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Lumajang
202.57.27.116,4,-73,Ookla Speedtest Server 54959: bwi-speedtest.wahyuadidaya.co.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Banyuwangi
103.191.217.8,4,-20,Ookla Speedtest Server 55129: speedtestsby.vnt.net.id,ID,Asia,South-eastern Asia,Indonesia,East Java,,Surabaya
