reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
103.156.86.73,4,0,Ookla Speedtest Server 8724: speedtest.chachanet.id,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,Bone
112.215.223.28,4,10,Ookla Speedtest Server 10730: speedtest-mks.xl.co.id,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,Makassar
115.178.189.61,4,-4,Ookla Speedtest Server 23158: mks1-speedtest.smartfren.com,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,Makassar
103.155.113.10,4,0,Ookla Speedtest Server 34629: eka.soppeng.go.id,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,Watansoppeng
103.156.96.83,4,19,Ookla Speedtest Server 53703: speedtest-luwtim-01.rapatel.net.id,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,East Luwu Regency
103.155.190.75,4,-35,Ookla Speedtest Server 61660: bolaang-mongondow.trisuladata.net.id,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,
103.111.92.2,4,-9,Ookla Speedtest Server 67491: v922.faznet.co.id,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,Sengkang
103.155.191.138,4,-4,Ookla Speedtest Server 68621: makassar.trisuladata.net.id,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,Makassar
103.155.191.139,4,-4,Ookla Speedtest Server 69089: kotamobagu.trisuladata.net.id,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,
103.93.121.30,4,4,Ookla Speedtest Server 71279: speedtest.iftalink.net,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,Takalar
103.129.173.9,4,4,Ookla Speedtest Server 72796: speedtest.makasar.myrepublic.net.id,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,Makassar
103.187.86.70,4,9,Ookla Speedtest Server 74529: speedtestmks.bineri.id,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,Makassar
103.151.145.17,4,26754,unismuh.ac.id,ID,Asia,South-eastern Asia,Indonesia,South Sulawesi,,Makassar
