reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
103.150.117.57,4,-6,adisumaryadi.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.197.191.109,4,6,alif.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
119.235.250.67,4,51,anfa.co.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Depok
103.127.137.154,4,-7,arkamaya.co.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.44.27.44,4,21,ayanaresort.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.150.85.15,4,-6,bbpkhcinagara.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
45.126.43.120,4,-16,bhamada.ac.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
103.175.217.172,4,7,bidtrack.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.58.102.59,4,-20,bloggerborneo.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.150.190.168,4,-18,bukukita.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
36.67.73.9,4,7,bunghatta.ac.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Depok
103.196.155.242,4,0,cektarif.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.150.191.36,4,6,chalistajayautama.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
124.158.147.114,4,49096681,DNS Server: 114.147.158.124.in-addr.arpa,ID,Asia,South-eastern Asia,Indonesia,West Java,,Surabaya
175.103.40.42,4,8598773,DNS Server: 42.40.103.175.maxindo.net,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
202.150.133.52,4,-213754,DNS Server: 52.subnet133.comnet.net.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bandung
103.120.169.187,4,-5707,DNS Server: host-103-120-169-187.myrepublic.co.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
103.39.51.88,4,-7,DNS Server: ip-103-39-51-88.mentari.net.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Kuningan
103.176.96.117,4,1,DNS Server: ip.117-96.g-fiber.co.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
103.176.96.173,4,-285220,DNS Server: ip.173-96.g-fiber.co.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
103.176.96.93,4,8,DNS Server: ip.93-96.g-fiber.co.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
202.158.13.122,4,2752348,DNS Server: ip13-122.cbn.net.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
202.158.13.124,4,2752349,DNS Server: ip13-124.cbn.net.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
202.158.15.146,4,4421173,DNS Server: ip15-146.cbn.net.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
202.158.29.250,4,3,DNS Server: ip29-250.cbn.net.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
117.54.131.125,4,12,DNS Server: rev-117-54-131-125.indo.net.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
160.250.227.196,4,-3,DoH server: dns.bebasid.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,
103.150.191.84,4,-2,DoH server: dns.diarbagus.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.196.152.126,4,-5,DoH server: dns.goldplate.org,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.150.116.100,4,-3,DoH server: dns.ningkelle.id, family.dns.ningkelle.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
45.126.43.118,4,-33,dutajayatrans.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bekasi
103.87.66.87,4,-5,fsgm-indonesia.org,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
36.91.170.3,4,-3,gbk.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bandung
119.235.249.99,4,1119,hickey8.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Depok
103.58.102.40,4,7,hits.co.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.127.138.90,4,-9,iddofficial.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
116.206.197.44,4,4,indonesianfilmcenter.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.196.146.11,4,6,inibaru.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.129.148.205,4,1,inivie.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.178.174.24,4,-14,insidelombok.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Cirebon
103.18.76.93,4,1,jagonyawebsite.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.127.96.75,4,26,jernih.co,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
82.153.226.106,4,1133,jtp.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.175.217.226,4,-21,konstruksi-jasa.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.175.220.157,4,-2,kupastuntas.co,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
119.235.252.68,4,1081,ltscomputing.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Depok
103.175.219.121,4,-3,majalio.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.196.146.3,4,1,medcom.id,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
103.93.130.234,4,-7,metrotvnews.com,ID,Asia,South-eastern Asia,Indonesia,West Java,,Bogor
