reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
103.172.0.102,4,712,DNS Server: host-102.0.cubiespot.net.id,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
103.172.0.166,4,-122,DNS Server: host-166.0.cubiespot.net.id,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
103.111.100.254,4,14,Ookla Speedtest Server 37051: v100.faznet.co.id,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
114.125.0.62,4,6904,Ookla Speedtest Server 40539: speedtest.pekanbaru.telkomsel.com,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
112.215.223.12,4,17,Ookla Speedtest Server 41806: speedtest-pkb.xl.co.id,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
103.166.254.28,4,2,Ookla Speedtest Server 47254: speedtest.insta.net.id,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
103.169.149.236,4,7,Ookla Speedtest Server 47685: speedtest.kangen.net.id,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
103.138.71.5,4,-3,Ookla Speedtest Server 49392: sptest2.centro.net.id,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
103.24.196.15,4,-137082,Ookla Speedtest Server 62673: speedtest-neucentrix.dash.net.id,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
202.67.39.50,4,0,Ookla Speedtest Server 71259: speed-bpp-01.ioh.co.id,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
165.101.30.247,4,12,Ookla Speedtest Server 71350: speedtest.abifiber.id,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
103.172.0.235,4,-1,Ookla Speedtest Server 71488: speedtest.pkuwifi.net,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
103.172.0.234,4,21,Ookla Speedtest Server 72484: speedtest-pku.cubiespot.net.id,ID,Asia,South-eastern Asia,Indonesia,Riau,,Pekanbaru
