reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
103.121.228.1,4,34,DNS Server: ns1.dns.myanmarapn.com,MM,Asia,South-eastern Asia,Myanmar,Yangon,,Yangon
103.233.204.14,4,12,Ookla Speedtest Server 14059: globalnetmmisp.com,MM,Asia,South-eastern Asia,Myanmar,Yangon,,Yangon
103.121.224.6,4,-77,Ookla Speedtest Server 24514: truenetisp.net,MM,Asia,South-eastern Asia,Myanmar,Yangon,,Yangon
123.253.231.66,4,-19547,Ookla Speedtest Server 38211: sp3.campanaworks.com,MM,Asia,South-eastern Asia,Myanmar,Yangon,,Thanlyin
59.153.90.22,4,14,Ookla Speedtest Server 40029: sp4.myanmarnet.com,MM,Asia,South-eastern Asia,Myanmar,Yangon,,Yangon
103.217.68.132,4,1,Ookla Speedtest Server 52945: speedtest.fastspeedmm.net,MM,Asia,South-eastern Asia,Myanmar,Yangon,,Yangon
103.59.163.200,4,28,Ookla Speedtest Server 59836: speedtest.goldendragon2000.com,MM,Asia,South-eastern Asia,Myanmar,Yangon,,Yangon
103.110.183.42,4,9,Ookla Speedtest Server 61233: speedtest.chenguangnetwork.com,MM,Asia,South-eastern Asia,Myanmar,Yangon,,Yangon
103.133.243.27,4,-24076,Ookla Speedtest Server 67822: speedtest.onenetworks.net,MM,Asia,South-eastern Asia,Myanmar,Yangon,,
103.67.50.45,4,-22,Ookla Speedtest Server 69578: speedtest.wcombroadband.com,MM,Asia,South-eastern Asia,Myanmar,Yangon,,Yangon
69.160.0.86,4,174,OOREDOO MYANMAR,MM,Asia,South-eastern Asia,Myanmar,Yangon,,Yangon
