reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
122.55.142.154,4,-4180966981,DNS Server: 122.55.142.154.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.142.178,4,-4192070463,DNS Server: 122.55.142.178.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.143.170,4,-4180644762,DNS Server: 122.55.143.170.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.145.178,4,68126176,DNS Server: 122.55.145.178.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.158.162,4,-4184581845,DNS Server: 122.55.158.162.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.158.66,4,70252119,DNS Server: 122.55.158.66.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.159.150,4,-4193846231,DNS Server: 122.55.159.150.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.203.38,4,41392398,DNS Server: 122.55.203.38.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.204.1,4,41392399,DNS Server: 122.55.204.1.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.204.113,4,-4198891553,DNS Server: 122.55.204.113.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.236.166,4,-4198485068,DNS Server: 122.55.236.166.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.242.174,4,17916314,DNS Server: 122.55.242.174.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
122.55.246.153,4,59139360,DNS Server: 122.55.246.153.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Caruhatan
