reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
119.92.192.241,4,-13646138,DNS Server: 119.92.192.241.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Quezon City
119.92.197.6,4,-14501850,DNS Server: 119.92.197.6.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Quezon City
122.52.198.41,4,-28799992,DNS Server: 122.52.198.41.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Quezon City
122.54.221.215,4,3645,DNS Server: 122.54.221.215.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Quezon City
122.55.142.178,4,-4244398539,DNS Server: 122.55.142.178.static.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Quezon City
58.69.123.192,4,406,DNS Server: 58.69.123.192.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Quezon City
58.69.125.152,4,8,DNS Server: 58.69.125.152.pldt.net,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Quezon City
202.90.134.36,4,-22,psa.gov.ph,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Quezon City
122.53.179.133,4,-26,slu.edu.ph,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Quezon City
202.65.183.189,4,144582,ust.edu.ph,PH,Asia,South-eastern Asia,Philippines,Metro Manila,,Quezon City
