reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
103.30.198.78,4,34,cambodia-airways.com,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
203.223.32.44,4,-4,camnet.com.kh,KH,Asia,South-eastern Asia,Cambodia,,,
103.193.204.121,4,6,cellcard.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
203.223.32.4,4,779009,cnv.org.kh,KH,Asia,South-eastern Asia,Cambodia,,,
116.212.131.147,4,-49,cpp.org.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
96.9.69.164,4,-14,DNS Server: 164.69.9.96.sinet.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
96.9.88.2,4,-8,DNS Server: 2.88.9.96.sinet.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
124.248.191.83,4,6227,DNS Server: fiber-191-83.online.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
103.142.5.2,4,-42,itc.edu.kh,KH,Asia,South-eastern Asia,Cambodia,,,
103.142.5.29,4,125002,itc.edu.kh,KH,Asia,South-eastern Asia,Cambodia,,,
96.9.64.18,4,-89850,Ookla Speedtest Server 5828: speedtest.sinet.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
202.93.8.190,4,59,Ookla Speedtest Server 8615: speedtest1.citylink.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
203.167.18.3,4,33,Ookla Speedtest Server 8977: speedtest1.neocomisp.com.kh,KH,Asia,South-eastern Asia,Cambodia,,,
203.176.128.68,4,-17,Ookla Speedtest Server 10574: speedtest.mekongnet.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
103.216.51.196,4,12,Ookla Speedtest Server 10798: sp1.today.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
103.139.17.110,4,10,Ookla Speedtest Server 12896: speedtest.fastone.com.kh,KH,Asia,South-eastern Asia,Cambodia,,,
103.193.204.84,4,-8,Ookla Speedtest Server 13093: speedtest.cellcard.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
45.119.133.235,4,-42,Ookla Speedtest Server 26126: speedtestnewpnp.metfone.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
203.189.128.15,4,9,Ookla Speedtest Server 28242: speedtest.online.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
103.242.59.42,4,3763139,Ookla Speedtest Server 30034: speedtest.yes.com.kh,KH,Asia,South-eastern Asia,Cambodia,,,
119.82.249.106,4,-6,Ookla Speedtest Server 31848: speedtest3.ezecom.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
202.58.18.20,4,-1,Ookla Speedtest Server 38125: speedtest.megatruenet.com,KH,Asia,South-eastern Asia,Cambodia,,,
103.224.29.2,4,-42,Ookla Speedtest Server 46345: speedy.maxbit.com.kh,KH,Asia,South-eastern Asia,Cambodia,,,
202.79.24.160,4,2,Ookla Speedtest Server 52337: speed.wicam.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
120.136.31.234,4,-289322,Ookla Speedtest Server 55834: speedtest.camintel.com,KH,Asia,South-eastern Asia,Cambodia,,,
103.189.187.5,4,43,Ookla Speedtest Server 60467: speedtest.spidernet.com.kh,KH,Asia,South-eastern Asia,Cambodia,,,
103.132.11.27,4,22,Ookla Speedtest Server 61175: speedtest.empiretech.com.kh,KH,Asia,South-eastern Asia,Cambodia,,,
103.119.80.133,4,17,Ookla Speedtest Server 61668: speedtest.tonletec.com.kh,KH,Asia,South-eastern Asia,Cambodia,,,
103.140.237.219,4,31,Ookla Speedtest Server 63299: speedtest.wingelcooperation.com.kh,KH,Asia,South-eastern Asia,Cambodia,,,
203.167.18.9,4,18,Ookla Speedtest Server 67762: speedtest2.neocomisp.com,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
119.82.249.148,4,-13,Ookla Speedtest Server 70348: speedtest.ezecom.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
118.67.200.33,4,-1,sabay.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
203.217.168.177,4,60,sinet.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
111.90.177.146,4,1246,tuolsleng.gov.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
220.158.232.16,4,9,usflashmap.com,KH,Asia,South-eastern Asia,Cambodia,,,
203.176.128.88,4,-12,vithey.com.kh,KH,Asia,South-eastern Asia,Cambodia,Phnom Penh,,Phnom Penh
220.158.235.210,4,4,yourediva.com,KH,Asia,South-eastern Asia,Cambodia,,,
