reflector_ip,ip_version,offset,description,country_code,country_name,region,sub_region
103.156.24.6,4,-1096,5314.cc,MY,Malaysia,Asia,South-eastern Asia
103.215.139.69,4,5,7eleven.com.my,MY,Malaysia,Asia,South-eastern Asia
103.246.114.216,4,12,90tiyu.com,MY,Malaysia,Asia,South-eastern Asia
202.133.105.18,4,29,abu.org.my,MY,Malaysia,Asia,South-eastern Asia
219.92.36.174,4,8,abu.org.my,MY,Malaysia,Asia,South-eastern Asia
175.136.246.170,4,7,abu.org.my,MY,Malaysia,Asia,South-eastern Asia
103.197.57.14,4,182453,aiac.world,MY,Malaysia,Asia,South-eastern Asia
110.4.45.83,4,11,aiu.edu.my,MY,Malaysia,Asia,South-eastern Asia
110.4.45.79,4,-534,anubah.com,MY,Malaysia,Asia,South-eastern Asia
218.208.91.140,4,2750,apple101.my,MY,Malaysia,Asia,South-eastern Asia
43.245.98.24,4,4,aquaholic.com.sg,MY,Malaysia,Asia,South-eastern Asia
218.208.91.144,4,1675,arrow.org.my,MY,Malaysia,Asia,South-eastern Asia
103.215.139.130,4,1355,ascrolite.com,MY,Malaysia,Asia,South-eastern Asia
202.165.23.237,4,11,aseancap.org,MY,Malaysia,Asia,South-eastern Asia
202.165.23.189,4,47,aseancap.org,MY,Malaysia,Asia,South-eastern Asia
202.165.23.54,4,4,aseancap.org,MY,Malaysia,Asia,South-eastern Asia
103.8.24.88,4,73,aseanfootball.org,MY,Malaysia,Asia,South-eastern Asia
110.4.45.162,4,-1340,asianfisheriessociety.org,MY,Malaysia,Asia,South-eastern Asia
110.4.47.147,4,-3,aspen.com.my,MY,Malaysia,Asia,South-eastern Asia
47.254.201.0,4,4,ataslink.com,MY,Malaysia,Asia,South-eastern Asia
103.198.69.16,4,44,auroracw.com,MY,Malaysia,Asia,South-eastern Asia
103.6.247.29,4,6,bangkokspamalaysia.com,MY,Malaysia,Asia,South-eastern Asia
110.4.45.86,4,477,bbn.my,MY,Malaysia,Asia,South-eastern Asia
103.57.189.130,4,10,bem.org.my,MY,Malaysia,Asia,South-eastern Asia
137.59.110.65,4,916,berjaya-air.com,MY,Malaysia,Asia,South-eastern Asia
118.107.202.62,4,7,berjaya.com,MY,Malaysia,Asia,South-eastern Asia
103.197.57.47,4,202,berjayahotel.com,MY,Malaysia,Asia,South-eastern Asia
202.87.223.91,4,30,bicyclebuysell.com,MY,Malaysia,Asia,South-eastern Asia
103.27.73.160,4,-5,bidaraspecialist.com,MY,Malaysia,Asia,South-eastern Asia
118.107.236.114,4,7,bikesrepublic.com,MY,Malaysia,Asia,South-eastern Asia
182.239.43.112,4,-748,biolife.com.my,MY,Malaysia,Asia,South-eastern Asia
103.18.246.36,4,25,borneoecotours.com,MY,Malaysia,Asia,South-eastern Asia
103.8.25.94,4,2803,bumibergmarine.com,MY,Malaysia,Asia,South-eastern Asia
185.93.166.29,4,4,bumigemilang.com,MY,Malaysia,Asia,South-eastern Asia
111.90.158.186,4,8,buyaccs.com,MY,Malaysia,Asia,South-eastern Asia
202.75.53.49,4,1041280,cameronhighlandsinfo.com,MY,Malaysia,Asia,South-eastern Asia
110.4.45.47,4,-436,cancer.org.my,MY,Malaysia,Asia,South-eastern Asia
43.245.98.117,4,32,cathedral.org.sg,MY,Malaysia,Asia,South-eastern Asia
110.4.47.20,4,-2,compsuite.com,MY,Malaysia,Asia,South-eastern Asia
117.53.152.110,4,8,confbay.com,MY,Malaysia,Asia,South-eastern Asia
101.99.84.148,4,5,cradle.com.my,MY,Malaysia,Asia,South-eastern Asia
110.4.45.157,4,524,cubicsqsolutions.com,MY,Malaysia,Asia,South-eastern Asia
218.208.33.104,4,-29,customs.gov.my,MY,Malaysia,Asia,South-eastern Asia
124.217.230.112,4,2,dagangnews.com,MY,Malaysia,Asia,South-eastern Asia
124.217.241.133,4,33788,deathofcommunism.com,MY,Malaysia,Asia,South-eastern Asia
103.18.244.52,4,-919,deloitte-halo.com,MY,Malaysia,Asia,South-eastern Asia
124.217.255.43,4,1670,dhammatalks.net,MY,Malaysia,Asia,South-eastern Asia
211.24.100.198,4,-233519,DNS Server: cgw-211-24-100-198.bbrtl.time.net.my,MY,Malaysia,Asia,South-eastern Asia
202.188.230.221,4,2437,DNS Server: klj-230-221.tm.net.my,MY,Malaysia,Asia,South-eastern Asia
121.121.44.131,4,284,DNS Server: martmail.infoarch.net,MY,Malaysia,Asia,South-eastern Asia
202.188.124.58,4,54,DNS Server: ns.bernama.com,MY,Malaysia,Asia,South-eastern Asia
