reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
1.2.182.119,4,2583156,DNS Server: node-arb.pool-1-2.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.2.185.11,4,5,DNS Server: node-b9n.pool-1-2.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.2.185.224,4,2246,DNS Server: node-bfk.pool-1-2.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.2.185.226,4,3,DNS Server: node-bfm.pool-1-2.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.2.187.15,4,72012970,DNS Server: node-bnz.pool-1-2.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.2.187.63,4,4,DNS Server: node-bpb.pool-1-2.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.2.187.65,4,61039547,DNS Server: node-bpd.pool-1-2.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.2.187.141,4,72012847,DNS Server: node-brh.pool-1-2.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.194.216,4,8981,DNS Server: node-d7c.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.202.99,4,-227,DNS Server: node-eoz.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.202.161,4,20184,DNS Server: node-eqp.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.202.216,4,12,DNS Server: node-es8.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.203.103,4,6,DNS Server: node-ew7.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.203.167,4,13,DNS Server: node-exz.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.212.99,4,0,DNS Server: node-go3.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.213.67,4,246,DNS Server: node-gub.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.213.104,4,10813750,DNS Server: node-gvc.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.218.15,4,26307,DNS Server: node-hsf.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.218.50,4,77293239,DNS Server: node-hte.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.218.57,4,70894,DNS Server: node-htl.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.218.58,4,17294749,DNS Server: node-htm.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.218.244,4,59628,DNS Server: node-hys.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.0.220.118,4,909,DNS Server: node-i9i.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
203.144.191.69,4,-1,Ookla Speedtest Server 37240: spd-ayt.scms-tech.co.th,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
1.20.151.94,4,6,TOT Public Company Limited,TH,Asia,South-eastern Asia,Thailand,Phra Nakhon Si Ayutthaya,,Phra Nakhon Si Ayutthaya
