reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
203.150.37.10,4,2538,DNS Server: 203-150-37-10.inter.net.th,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
203.150.37.11,4,9303,DNS Server: 203-150-37-11.inter.net.th,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
113.53.53.106,4,48,DNS Server: node-aju.pool-113-53.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.194.52,4,120,DNS Server: node-d2s.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.194.133,4,-507,DNS Server: node-d51.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.194.135,4,320,DNS Server: node-d53.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.194.136,4,42,DNS Server: node-d54.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.194.141,4,61201699,DNS Server: node-d59.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.194.161,4,2774,DNS Server: node-d5t.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.195.10,4,147,DNS Server: node-d8q.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.195.40,4,228,DNS Server: node-d9k.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.195.110,4,49910,DNS Server: node-dbi.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.195.114,4,52087,DNS Server: node-dbm.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.195.131,4,6584,DNS Server: node-dc3.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.195.196,4,78,DNS Server: node-ddw.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.195.227,4,-14216,DNS Server: node-der.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.198.121,4,1079,DNS Server: node-dx5.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.198.128,4,13660,DNS Server: node-dxc.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.198.162,4,4,DNS Server: node-dya.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.198.210,4,16855897,DNS Server: node-dzm.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.198.218,4,24,DNS Server: node-dzu.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
1.4.198.223,4,3019,DNS Server: node-dzz.pool-1-4.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Chon Buri,,Pattaya
