reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
1.1.212.204,4,-25199796,DNS Server: node-gr0.pool-1-1.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Mukdahan,,Dong Luang
1.1.220.24,4,403,DNS Server: node-i6w.pool-1-1.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Mukdahan,,Dong Luang
1.1.220.28,4,7843,DNS Server: node-i70.pool-1-1.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Mukdahan,,Dong Luang
1.1.220.34,4,915,DNS Server: node-i76.pool-1-1.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Mukdahan,,Dong Luang
1.1.220.37,4,170469,DNS Server: node-i79.pool-1-1.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Mukdahan,,Dong Luang
1.1.220.92,4,-428,DNS Server: node-i8s.pool-1-1.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Mukdahan,,Dong Luang
1.1.220.134,4,37,DNS Server: node-i9y.pool-1-1.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Mukdahan,,Dong Luang
1.1.220.147,4,52,DNS Server: node-iab.pool-1-1.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Mukdahan,,Dong Luang
1.1.220.150,4,37,DNS Server: node-iae.pool-1-1.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Mukdahan,,Dong Luang
1.1.223.230,4,2794783,DNS Server: node-ixy.pool-1-1.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Mukdahan,,Dong Luang
