reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
1.0.160.109,4,49,DNS Server: node-6el.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.161.99,4,26580608,DNS Server: node-6lf.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.161.224,4,-52886159,DNS Server: node-6ow.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.161.239,4,2996741,DNS Server: node-6pb.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.162.43,4,-9864,DNS Server: node-6qz.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.162.87,4,-5124900,DNS Server: node-6s7.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.163.13,4,3148,DNS Server: node-6x9.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.164.180,4,20389337,DNS Server: node-790.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.166.233,4,-128,DNS Server: node-7op.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.168.46,4,76,DNS Server: node-7xq.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.168.54,4,203850,DNS Server: node-7xy.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.168.71,4,1180,DNS Server: node-7yf.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.168.84,4,64230,DNS Server: node-7ys.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.168.129,4,89,DNS Server: node-801.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.168.166,4,-52654004,DNS Server: node-812.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.169.10,4,-15662265,DNS Server: node-83u.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.169.69,4,78,DNS Server: node-85h.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.169.71,4,97,DNS Server: node-85j.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.169.118,4,100,DNS Server: node-86u.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.169.119,4,79,DNS Server: node-86v.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.169.175,4,-27,DNS Server: node-88f.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.169.235,4,20671,DNS Server: node-8a3.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.170.31,4,10521,DNS Server: node-8bj.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.170.33,4,217,DNS Server: node-8bl.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.170.39,4,-67680,DNS Server: node-8br.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.170.44,4,-276,DNS Server: node-8bw.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.170.69,4,174,DNS Server: node-8cl.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
1.0.170.83,4,-468,DNS Server: node-8cz.pool-1-0.dynamic.totinternet.net,TH,Asia,South-eastern Asia,Thailand,Surat Thani,,Ko Samui
