reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
203.190.11.3,4,-157,dic.edu.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.101.197.171,4,598,DNS Server: 103-101-197-171.Dhaka.carnival.com.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.112.54.34,4,-18390989,DNS Server: 103-112-54-34.Dhaka.carnival.com.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.251.245.89,4,4809,DNS Server: 103-251-245-89-tuhinenterprise.com,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
115.127.191.18,4,3863,DNS Server: 115.127.191.18.bracnet.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
180.148.211.214,4,1189,DNS Server: 180.148.211.214.stargatecommunications.com,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
180.148.214.181,4,-2690,DNS Server: 180.148.214.181.stargatecommunications.com,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
45.125.222.97,4,15495,DNS Server: 45-125-222-97.dhaka.carnival.com.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
120.50.22.130,4,893,DNS Server: caip.telnet.net.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.109.97.177,4,148,DNS Server: client-103-109-97-177.digijadoo.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
113.212.110.22,4,1,DNS Server: host-11022.maxhub.net.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
202.91.41.53,4,2902,DNS Server: host-39-53.cityonlinebd.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
202.91.40.139,4,-21071465,DNS Server: host139.cityonlinebd.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
119.148.103.182,4,32,DNS Server: host182.maishabd.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
202.91.40.24,4,8683,DNS Server: host24.cityonlinebd.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
113.212.108.54,4,-7088,DNS Server: host54.cityonlinebd.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
113.212.111.66,4,1370,DNS Server: host66.cityonlinebd.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.87.212.10,4,60813,DNS Server: ns.basnetbd.com,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
202.74.244.9,4,1530,infoexbd.com,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.108.140.55,4,299,iubat.edu,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
182.16.156.10,4,-10,mnrbd.com,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
123.49.56.13,4,1229113,nothi.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
123.49.56.17,4,1229113,nothi.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.43.148.67,4,45,Ookla Speedtest Server: speedtest.xpress.ltd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
202.40.176.34,4,1171,rankspowertech.com,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.205.133.96,4,455,sarabangla.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.80.1.2,4,-142068,SS Online,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
