reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
131.186.51.242,4,-4,nilmrc.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Gazipur,Gazipur
150.242.106.94,4,-3,Ookla Speedtest Server 31336: speedtest1.banglalink.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Gazipur,Gazipur
131.186.51.76,4,-7,portal.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Gazipur,Gazipur
159.13.21.187,4,3,portal.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Gazipur,Gazipur
159.13.21.218,4,9,satkhiramc.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Gazipur,Gazipur
131.186.50.33,4,-8,sreda.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Gazipur,Gazipur
159.13.21.17,4,1,sylhet.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Gazipur,Gazipur
159.13.21.95,4,2,tangail.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Gazipur,Gazipur
159.13.20.227,4,2,techedu.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Gazipur,Gazipur
159.13.20.243,4,12,tmed.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Gazipur,Gazipur
159.13.21.220,4,0,wewb.gov.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Gazipur,Gazipur
