reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
14.195.191.219,4,-6,bareactslive.com,IN,Asia,Southern Asia,India,Haryana,,Gurugram
205.147.110.194,4,5,clickindia.com,IN,Asia,Southern Asia,India,Haryana,,Faridabad
182.76.239.237,4,-184528949,DNS Server: nsg-static-237.239.76.182-airtel.com,IN,Asia,Southern Asia,India,Haryana,,Gurugram
205.147.111.116,4,3,ekunjika.com,IN,Asia,Southern Asia,India,Haryana,,Faridabad
103.20.215.24,4,854,enggpro.com,IN,Asia,Southern Asia,India,Haryana,,Faridabad
103.20.213.86,4,10,gyanvihar.org,IN,Asia,Southern Asia,India,Haryana,,Faridabad
205.147.110.185,4,-5,hellotravel.com,IN,Asia,Southern Asia,India,Haryana,,Faridabad
103.20.212.129,4,-5,jointsolution.in,IN,Asia,Southern Asia,India,Haryana,,Faridabad
14.195.81.254,4,-13,lincoln.edu.my,IN,Asia,Southern Asia,India,Haryana,,Gurugram
103.20.213.62,4,-8,nitsikkim.ac.in,IN,Asia,Southern Asia,India,Haryana,,Faridabad
103.248.85.16,4,-15,Ookla Speedtest Server 4183: speedtestggn.tripleplay.in,IN,Asia,Southern Asia,India,Haryana,,Gurugram
103.206.160.17,4,-4,Ookla Speedtest Server 8220: speedtest.timbl.co.in,IN,Asia,Southern Asia,India,Haryana,,Gurugram
103.248.85.14,4,-5,Ookla Speedtest Server 8795: speedtestnoida.tripleplay.in,IN,Asia,Southern Asia,India,Haryana,,Gurugram
103.248.85.13,4,-38,Ookla Speedtest Server 10444: speedtestdelhi.tripleplay.in,IN,Asia,Southern Asia,India,Haryana,,Gurugram
103.248.85.12,4,18,Ookla Speedtest Server 10445: speedtestfbd.tripleplay.in,IN,Asia,Southern Asia,India,Haryana,,Gurugram
103.248.85.15,4,-18,Ookla Speedtest Server 10446: speedtestgzb.tripleplay.in,IN,Asia,Southern Asia,India,Haryana,,Gurugram
112.196.91.58,4,-2,Ookla Speedtest Server 11803: speedtest.connectzone.in,IN,Asia,Southern Asia,India,Haryana,,Panchkula
103.91.78.243,4,-19,Ookla Speedtest Server 16357: speedtest.miplhr.com,IN,Asia,Southern Asia,India,Haryana,,Jīnd
