reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
68.233.114.111,4,-13,aqi.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
202.65.131.182,4,-16,bestbus.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
199.232.107.10,4,-24,cepheid.com,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
119.31.249.62,4,106,chengbu.gov.cn,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
206.1.14.84,4,416,cloud4c.com,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
175.101.8.251,4,189,DNS Server: 175.101.8.251.static.excellmedia.net,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
183.82.107.220,4,347,DNS Server: 183.82.107.220.actcorp.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
68.233.117.137,4,-12,equitasbank.com,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
103.24.202.135,4,4131,globaltree.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
182.18.176.183,4,-6,indianpowerliftingfederation.com,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
14.139.82.142,4,177233,jntuh.ac.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
202.62.64.175,4,229,Ookla Speedtest Server 9153: hydspeedtest.cityonlines.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
119.235.52.86,4,-6809715,Ookla Speedtest Server 13785: speedhyd.dvpl.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
123.176.37.64,4,334,Ookla Speedtest Server 14340: speedtest.actcorp.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
202.53.72.5,4,-31519,Ookla Speedtest Server 15125: baservers.nettlinx.com,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
122.169.240.154,4,266,Ookla Speedtest Server 18977: speedtesthyd.airtelbroadband.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
103.224.156.193,4,204,Ookla Speedtest Server 20867: sp1.hireachbroadband.com,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
103.105.100.26,4,301,Ookla Speedtest Server 36778: speedtest.hitechbroadband.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
103.88.238.122,4,22400848,Ookla Speedtest Server 46614: speedtest.skinternetservices.co.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
103.99.111.242,4,233,Ookla Speedtest Server 54296: speedtest.srbroadband.net,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
103.105.177.13,4,223,Ookla Speedtest Server 55051: speedtest1.reachbroadband.co.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
103.48.70.99,4,200526,Ookla Speedtest Server 57117: speedtest.countryonline.co.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
103.12.117.4,4,261,Ookla Speedtest Server 59723: speedtest.zyetel.net,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
103.52.37.122,4,213,Ookla Speedtest Server 62440: speedtest1.inetbb.in,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
182.18.139.68,4,-19,pharmexcil.com,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
115.187.17.95,4,-14,platform-mag.com,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
152.67.174.198,4,-16,singaporecancersociety.org.sg,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
119.235.48.3,4,-27,VAINAVI INDUSTIES LTD. INTERNET SERVICE PROVIDER. INDIA,IN,Asia,Southern Asia,India,Telangana,,Hyderabad
