reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
122.176.27.58,4,-46,bestbhadrak.org,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
115.240.14.242,4,156759,DNS Server: 115.240.14.242.static.jio.com,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
115.240.24.40,4,-1,lincoln.edu.my,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
160.187.68.123,4,-34,occultpedia.com,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
112.133.231.18,4,12,Ookla Speedtest Server 15697: kol.speedtest.railtel.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.141.92.54,4,-30,Ookla Speedtest Server 30961: speedtest.sswl.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.211.23.158,4,16,Ookla Speedtest Server 31048: sp2.gtplkcbpl.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.154.234.235,4,-4,Ookla Speedtest Server 34718: speedtest.kol.fabnet.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.154.234.234,4,-22,Ookla Speedtest Server 38622: speedtest.bst.fabnet.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.59.72.233,4,-13,Ookla Speedtest Server 40733: speedtestkolkata.tataplayfiber.co.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
160.30.119.62,4,-17,Ookla Speedtest Server 41122: speedtest.stromnetbroadband.com,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.75.160.214,4,3109,Ookla Speedtest Server 43760: speedtest.cyberbroadband.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.2.133.30,4,-19,Ookla Speedtest Server 49089: speedtestslg.alliancebroadband.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.121.116.52,4,-12,Ookla Speedtest Server 50043: speedtest2.oxynet.co.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.157.69.54,4,37,Ookla Speedtest Server 52563: speedtest.xpressfiber.com,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.157.69.14,4,2,Ookla Speedtest Server 53419: speedtestkol.xpressfiber.com,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.68.126.202,4,-33,Ookla Speedtest Server 53716: speedtest.globnet.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.155.195.3,4,323000,Ookla Speedtest Server 59519: speedtest-bpc.speednetkolkata.com,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
43.248.58.12,4,10,Ookla Speedtest Server 61130: mrbspl1.multireachbroadband.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
117.203.164.241,4,-37,Ookla Speedtest Server 61706: bsnlooklakol.mywire.org,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.75.163.2,4,-42,Ookla Speedtest Server 64210: speedtest-maslandapur.speednetkolkata.com,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
152.52.190.90,4,-5,Ookla Speedtest Server 64428: speedtestinf.airtel.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.75.163.14,4,-23,Ookla Speedtest Server 65025: ubsplspeedtestkalyani.speednetkolkata.com,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.176.116.13,4,3,Ookla Speedtest Server 67878: speedtest2.gbplbroadband.com,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.75.163.12,4,-15,Ookla Speedtest Server 68761: speedtest-kol.speednetkolkata.com,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
163.223.0.254,4,26,Ookla Speedtest Server 69623: speedtest-kol.rapidnet.co.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
103.121.116.53,4,-26,Ookla Speedtest Server 70127: speedtest-ccu.oxynetindia.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
45.123.160.232,4,72,Ookla Speedtest Server 72696: speed.btel.co.in,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
115.110.80.220,4,9,Ookla Speedtest Server 73042: ookla.kk.as6453.net,IN,Asia,Southern Asia,India,West Bengal,,Kolkata
