reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
119.159.226.57,4,45,allamaiqbal.com,PK,Asia,Southern Asia,Pakistan,Punjab,,Gujrat
221.120.217.90,4,-25,apksoftinc.com,PK,Asia,Southern Asia,Pakistan,Punjab,,Gujranwala
119.159.226.208,4,-48,awkum.edu.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Gujrat
119.159.226.103,4,-28,bisefsd.edu.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Gujrat
203.128.7.14,4,-54,brain.net.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
103.16.146.197,4,-16,ctpublicschooljal.com,IN,Asia,Southern Asia,India,Punjab,,Jalandhar
103.217.177.7,4,-234,dhakarachi.org,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
103.178.79.34,4,40455,DNS Server: 103-178-79-34.lmp.net.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Faisalabad
202.166.161.107,4,-36555946,DNS Server: 202-166-161-107.connectel.com.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
58.27.230.162,4,20,DNS Server: 58-27-230-162.wateen.net,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
58.27.249.124,4,221,DNS Server: 58-27-249-124.wateen.net,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
210.2.142.196,4,194,DNS Server: static-host210-2-142-196.link.net.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Zafarwal
119.159.235.52,4,-27361212,giki.edu.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Gujrat
111.68.97.147,4,78810,ist.edu.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
121.52.159.138,4,131852,iub.edu.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Multan
103.4.94.171,4,-26,kemu.edu.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
111.68.103.174,4,-37,lums.edu.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
111.68.97.117,4,-42,numl.edu.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
103.60.103.60,4,261,Ookla Speedtest Server 15694: ld1.vayutel.net,IN,Asia,Southern Asia,India,Punjab,,Ludhiana
202.163.127.10,4,93,Ookla Speedtest Server 16080: lahorespeedtest.cyber.net.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
103.221.246.178,4,231,Ookla Speedtest Server 22513: speedtest-tts.lmpl.net,PK,Asia,Southern Asia,Pakistan,Punjab,,Faisalabad
103.52.34.3,4,16573,Ookla Speedtest Server 42493: speedtest.mtcl.net.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Bahawalpur
103.170.179.139,4,384,Ookla Speedtest Server 44237: npnst2.npisp.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Rawalpindi
103.72.138.255,4,295,Ookla Speedtest Server 44376: portal.iweb.net.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Wah
103.250.28.22,4,187,Ookla Speedtest Server 47635: speedtest.lasertel.com.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Gujrat
103.151.43.206,4,287,Ookla Speedtest Server 47649: speed1.msnetworks.net,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
103.117.162.79,4,287,Ookla Speedtest Server 52792: speedtest.babunetworks.com,PK,Asia,Southern Asia,Pakistan,Punjab,,
39.62.25.225,4,258,Ookla Speedtest Server 52872: ahsan5.transdigital.com.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
103.232.142.9,4,203,Ookla Speedtest Server 53866: speedtest.city-dotnet.com,PK,Asia,Southern Asia,Pakistan,Punjab,,Faisalabad
103.121.24.8,4,177,Ookla Speedtest Server 54280: speedtest.netelastic.net.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Faisalabad
157.10.226.252,4,234,Ookla Speedtest Server 55355: stestlhr.kas.com.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Lahore
103.157.248.6,4,220,Ookla Speedtest Server 55357: fcnspeed.fcnkasur.com,PK,Asia,Southern Asia,Pakistan,Punjab,,Kasur
103.70.251.244,4,60,Ookla Speedtest Server 55510: st.usmanisp.com,PK,Asia,Southern Asia,Pakistan,Punjab,,Bhalwal
103.178.78.6,4,301,Ookla Speedtest Server 55852: speed-login.lmpl.net,PK,Asia,Southern Asia,Pakistan,Punjab,,Faisalabad
103.176.4.174,4,272,Ookla Speedtest Server 56401: speedtest3.dsi.net.pk,PK,Asia,Southern Asia,Pakistan,Punjab,,Sarai Alamgir
