reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
203.171.98.10,4,10,Ookla Speedtest Server 29056: speedtest.etisalat.af,AF,Asia,Southern Asia,Afghanistan,Kabul,,Kabul
103.233.183.2,4,-55,Ookla Speedtest Server 40312: speedtest.tristar.af,AF,Asia,Southern Asia,Afghanistan,,,
103.13.65.10,4,-79,Ookla Speedtest Server 49659: qdhspeedtest.etisalat.af,AF,Asia,Southern Asia,Afghanistan,Kandahar,,Kandahar
203.171.114.86,4,-34,Ookla Speedtest Server 49660: mzrspeedtest.etisalat.af,AF,Asia,Southern Asia,Afghanistan,,,
203.171.122.46,4,13,Ookla Speedtest Server 49661: jldspeedtest.etisalat.af,AF,Asia,Southern Asia,Afghanistan,Nangarhar,,Jalalabad
203.171.110.14,4,-3,Ookla Speedtest Server 49811: hrtspeedtest.etisalat.af,AF,Asia,Southern Asia,Afghanistan,Herat,,Herat
103.216.160.10,4,-5,Ookla Speedtest Server 56270: speed.rahanet.af,AF,Asia,Southern Asia,Afghanistan,,,
163.61.14.254,4,1,Ookla Speedtest Server 57702: speedserver.starktelecom.af,AF,Asia,Southern Asia,Afghanistan,,,
103.86.124.45,4,10,Ookla Speedtest Server 68404: isp.acgtelasia.net,AF,Asia,Southern Asia,Afghanistan,,,
149.54.25.3,4,-2,Ookla Speedtest Server 69563: speedtest.afghantelecom.af,AF,Asia,Southern Asia,Afghanistan,,,
