reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
103.138.150.6,4,1283,ajkalbazar.xyz,BD,Asia,Southern Asia,Bangladesh,,,
14.128.14.5,4,109,allfreead.com,BD,Asia,Southern Asia,Bangladesh,,,
103.159.36.162,4,44,allresultbd.com,BD,Asia,Southern Asia,Bangladesh,,,
103.187.22.94,4,10,bankofinfo.com,BD,Asia,Southern Asia,Bangladesh,,,
115.187.18.121,4,579,bestwpware.com,BD,Asia,Southern Asia,Bangladesh,,,
103.125.255.23,4,7,biqri.com,BD,Asia,Southern Asia,Bangladesh,,,
103.157.135.49,4,2027,brur.ac.bd,BD,Asia,Southern Asia,Bangladesh,,,
114.130.240.178,4,-390479,bsmmu.edu.bd,BD,Asia,Southern Asia,Bangladesh,,,
103.157.135.123,4,-54,bup.edu.bd,BD,Asia,Southern Asia,Bangladesh,,,
114.130.119.166,4,-9,comilla.gov.bd,BD,Asia,Southern Asia,Bangladesh,,,
103.29.180.14,4,2,dainikamadershomoy.com,BD,Asia,Southern Asia,Bangladesh,,,
203.26.151.73,4,2,dainiksokalerbarta.com,BD,Asia,Southern Asia,Bangladesh,,,
203.190.11.3,4,-157,dic.edu.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.101.197.171,4,598,DNS Server: 103-101-197-171.Dhaka.carnival.com.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.112.54.34,4,-18390989,DNS Server: 103-112-54-34.Dhaka.carnival.com.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.147.162.37,4,26,DNS Server: 103-147-162-37.Dhaka.carnival.com.bd,BD,Asia,Southern Asia,Bangladesh,,,
103.251.245.89,4,4809,DNS Server: 103-251-245-89-tuhinenterprise.com,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
115.127.191.18,4,3863,DNS Server: 115.127.191.18.bracnet.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
123.200.18.198,4,5901,DNS Server: 18.198.aries.link3.net,BD,Asia,Southern Asia,Bangladesh,,,
180.148.211.214,4,1189,DNS Server: 180.148.211.214.stargatecommunications.com,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
180.148.214.181,4,-2690,DNS Server: 180.148.214.181.stargatecommunications.com,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
45.125.222.97,4,15495,DNS Server: 45-125-222-97.dhaka.carnival.com.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.117.195.217,4,12220389,DNS Server: ASSIGNED-FOR-CLIENT.mimebd.com,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Tangail,Tāngāil
120.50.22.130,4,893,DNS Server: caip.telnet.net.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
103.109.97.177,4,148,DNS Server: client-103-109-97-177.digijadoo.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
180.149.234.13,4,3283526,DNS Server: client-180-149-234-13.digijadoo.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,,
180.149.234.219,4,27,DNS Server: client-180-149-234-219.digijadoo.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,,
113.212.110.22,4,1,DNS Server: host-11022.maxhub.net.bd,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
202.91.41.53,4,2902,DNS Server: host-39-53.cityonlinebd.net,BD,Asia,Southern Asia,Bangladesh,Dhaka Division,Dhaka,Dhaka
