reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
103.233.58.111,4,505,cen.org.np,NP,Asia,Southern Asia,Nepal,,,
116.90.227.205,4,23,complete-jobs.co.uk,NP,Asia,Southern Asia,Nepal,,,
202.51.71.30,4,-8,gadgetbytenepal.com,NP,Asia,Southern Asia,Nepal,,,
103.255.126.189,4,-40,hamrobazaar.com,NP,Asia,Southern Asia,Nepal,,,
182.93.78.5,4,-18,hamshospital.com,NP,Asia,Southern Asia,Nepal,Madhesh,,Mahottari
202.51.74.189,4,257200,hardwarepasal.com,NP,Asia,Southern Asia,Nepal,,,
182.93.93.92,4,12,kortezthemes.com,NP,Asia,Southern Asia,Nepal,Madhesh,,Mahottari
110.34.30.110,4,-30,ldgroups.com,NP,Asia,Southern Asia,Nepal,Bagmati Province,,Chandranagar
182.93.80.120,4,-20,managementnote.com,NP,Asia,Southern Asia,Nepal,Madhesh,,Mahottari
103.90.86.88,4,448,nationalherbo.com,NP,Asia,Southern Asia,Nepal,,,
116.90.235.214,4,17,nepalairlines.com.np,NP,Asia,Southern Asia,Nepal,,,
45.115.219.189,4,18,nepalfelthouse.com,NP,Asia,Southern Asia,Nepal,,,
110.44.116.20,4,-64,nepalstock.com,NP,Asia,Southern Asia,Nepal,Bagmati Province,,Kathmandu
202.63.240.150,4,7134,nrb.org.np,NP,Asia,Southern Asia,Nepal,Bagmati Province,,Kathmandu
116.90.227.136,4,5,Ookla Speedtest Server 8396: speedtest.websurfer.com.np,NP,Asia,Southern Asia,Nepal,,,
165.101.164.43,4,54,Ookla Speedtest Server 12126: speedtest.shikharnet.com.np,NP,Asia,Southern Asia,Nepal,Gandaki Pradesh,,Pokhara
103.165.184.48,4,-78,Ookla Speedtest Server 13917: speedn.infonetc.com.np,NP,Asia,Southern Asia,Nepal,Lumbini Province,,Narapani
103.134.217.141,4,-14,Ookla Speedtest Server 13963: ktmspeedtest.sajilonet.com.np,NP,Asia,Southern Asia,Nepal,Koshi,,Jhāpā Bajār
