reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
2.55.72.107,4,199,DNS Server: 31-154-72-107.orange.net.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
182.54.236.24,4,1656,e-mago.co.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
80.179.142.74,4,-1,hebron.org.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
80.179.226.37,4,608,hma.org.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
80.179.142.66,4,35,jerusaleminstitute.org.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
185.241.4.171,4,1194,matomy.com,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
185.37.149.106,4,3,mhmhmuseum.org,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
80.179.226.44,4,6,nana10.co.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
185.217.98.94,4,1016,Ookla Speedtest Server: speedtest.interhost.co.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
94.103.185.116,4,27,posta.co.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
80.179.230.60,4,7,pvpanama.com,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
80.179.140.151,4,8,reader.co.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
80.179.128.181,4,-10797642,site-pro.co.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
80.179.230.22,4,5,social.org.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
192.116.49.85,4,23,wikirefua.org.il,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
80.179.141.28,4,5,zeustech.net,IL,Asia,Western Asia,Israel,Central District,,Petah Tikva
