reflector_ip,ip_version,description,country_code,country_name,region,sub_region
85.132.122.26,4,azstat.org,AZ,Azerbaijan,Asia,Western Asia
85.132.44.43,4,big.az,AZ,Azerbaijan,Asia,Western Asia
94.20.47.170,4,camera.az,AZ,Azerbaijan,Asia,Western Asia
94.20.142.173,4,daytube.az,AZ,Azerbaijan,Asia,Western Asia
85.132.85.85,4,Delta Telecom Ltd,AZ,Azerbaijan,Asia,Western Asia
94.20.21.214,4,ibar.az,AZ,Azerbaijan,Asia,Western Asia
94.20.59.201,4,lent.az,AZ,Azerbaijan,Asia,Western Asia
31.43.191.18,4,letsupload.co,AZ,Azerbaijan,Asia,Western Asia
94.20.71.19,4,Ookla Speedtest server: az-ix.net,AZ,Azerbaijan,Asia,Western Asia
176.28.83.17,4,Ookla Speedtest server: speedtest.bakcell.com,AZ,Azerbaijan,Asia,Western Asia
89.147.255.10,4,Ookla Speedtest server: speedtest.ivory.azstarnet.az,AZ,Azerbaijan,Asia,Western Asia
94.20.88.111,4,qarabagh.com,AZ,Azerbaijan,Asia,Western Asia
