reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
185.162.18.37,4,33,24sports.com.cy,CY,Asia,Western Asia,Cyprus,Nicosia,,Nicosia
213.169.148.156,4,747,aphroditehills.com,CY,Asia,Western Asia,Cyprus,,,
2.56.126.145,4,21,bloom-consulting.com,CY,Asia,Western Asia,Cyprus,,,
93.109.224.45,4,-5,cfa.com.cy,CY,Asia,Western Asia,Cyprus,,,
164.138.99.254,4,16,creagames.com,CY,Asia,Western Asia,Cyprus,,,
176.103.130.136,4,-4,DNS Server: 176-103-130-136.dns.adguard.com,CY,Asia,Western Asia,Cyprus,,,
176.103.130.137,4,-4,DNS Server: 176-103-130-137.dns.adguard.com,CY,Asia,Western Asia,Cyprus,,,
94.140.14.59,4,-4,DNS Server: 94-140-14-59.adguard.com,CY,Asia,Western Asia,Cyprus,,,
2.56.173.249,4,-4,DNS Server: anime.tm-webtoon.ru,CY,Asia,Western Asia,Cyprus,,,
93.109.244.74,4,-2116,DNS Server: buscust19-74.static.cytanet.com.cy,CY,Asia,Western Asia,Cyprus,Limassol District,,Limassol
93.109.214.102,4,1887,DNS Server: buscust20-102.static.cytanet.com.cy,CY,Asia,Western Asia,Cyprus,Limassol District,,Limassol
93.109.252.238,4,-6,DNS Server: buscust28-238.static.cytanet.com.cy,CY,Asia,Western Asia,Cyprus,Limassol District,,Limassol
87.228.232.7,4,-101271,DNS Server: buscust5-07.static.cytanet.com.cy,CY,Asia,Western Asia,Cyprus,Limassol District,,Limassol
93.109.243.17,4,4875,DNS Server: buscust74-17.static.cytanet.com.cy,CY,Asia,Western Asia,Cyprus,Limassol District,,Limassol
87.228.230.243,4,-4,DNS Server: buscust75-243.static.cytanet.com.cy,CY,Asia,Western Asia,Cyprus,Limassol District,,Limassol
93.109.240.10,4,257738,DNS Server: mainsrv.meritorius.com,CY,Asia,Western Asia,Cyprus,Limassol District,,Limassol
