reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
185.140.180.104,4,19,addameer.ps,PS,Asia,Western Asia,Palestine,,,
213.6.58.209,4,24120,mcenter.info,PS,Asia,Western Asia,Palestine,Ramallah and al-Bireh Governorate,,Ramallah
188.225.225.117,4,-12,Ookla Speedtest Server 1075: speedtest2.coolnet.ps,PS,Asia,Western Asia,Palestine,,,
185.209.108.60,4,-8,Ookla Speedtest Server 10030: speedtest1.together-pal.com,PS,Asia,Western Asia,Palestine,,,
188.225.230.38,4,1281,Ookla Speedtest Server 13973: speedtest.coolnet.ps,PS,Asia,Western Asia,Palestine,,,
94.73.1.4,4,20,Ookla Speedtest Server 24539: speedtest5.mada.ps,PS,Asia,Western Asia,Palestine,Hebron,,Hebron
176.67.63.122,4,-16611,Ookla Speedtest Server 40393: speedtest3.mada.ps,PS,Asia,Western Asia,Palestine,,,
217.21.0.47,4,765700,Ookla Speedtest Server 45636: al-bireh-speedtest.paltel.ps,PS,Asia,Western Asia,Palestine,,,
46.60.3.198,4,491711,Ookla Speedtest Server 52482: speedtest1.zaytona.ps,PS,Asia,Western Asia,Palestine,,,
95.130.88.240,4,-3,Ookla Speedtest Server 53193: speedtest.ooredoo.ps,PS,Asia,Western Asia,Palestine,,,
46.18.22.240,4,-1,Ookla Speedtest Server 57765: speed.bnet.ps,PS,Asia,Western Asia,Palestine,,,
185.203.66.84,4,13,Ookla Speedtest Server 67569: speedtest.astra.ps,PS,Asia,Western Asia,Palestine,,,
213.244.115.123,4,2540,Ookla Speedtest Server 71256: speedtest-qd.jawwal.ps,PS,Asia,Western Asia,Palestine,Quds Governorate,,East Jerusalem
151.243.242.205,4,-4,Ookla Speedtest Server 71575: speed.moonnet.ps,PS,Asia,Western Asia,Palestine,Tulkarm Governorate,,Tulkarm
185.17.234.130,4,-5,Ookla Speedtest Server: speedtest.mada.ps,PS,Asia,Western Asia,Palestine,,,
185.17.234.38,4,1071,travelpalestine.ps,PS,Asia,Western Asia,Palestine,,,
213.6.54.58,4,3,zain-clinic.com,PS,Asia,Western Asia,Palestine,Ramallah and al-Bireh Governorate,,Ramallah
