reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
34.166.77.54,4,120,ara.tv,SA,Asia,Western Asia,Saudi Arabia,Eastern Province,,Dammam
158.101.244.137,4,28,arib.com.sa,SA,Asia,Western Asia,Saudi Arabia,Eastern Province,,
154.205.134.28,4,246,delaatbusiness.com,SA,Asia,Western Asia,Saudi Arabia,,,
77.232.100.183,4,77,dulani.gov.sa,SA,Asia,Western Asia,Saudi Arabia,Eastern Province,,Dammam
185.216.40.107,4,-29965366,ksau-hs.edu.sa,SA,Asia,Western Asia,Saudi Arabia,Riyadh Region,,Riyadh
8.213.25.125,4,12,masar3500.com,SA,Asia,Western Asia,Saudi Arabia,Riyadh Region,,Riyadh
185.230.209.102,4,9,mizbani.xyz,SA,Asia,Western Asia,Saudi Arabia,,,
86.51.82.252,4,211,Ookla Speedtest Server 1734: dam.myspeed.net.sa,SA,Asia,Western Asia,Saudi Arabia,Eastern Province,,Dammam
79.170.53.30,4,-1745851,Ookla Speedtest Server 3196: speedtest-jeddahnew.sa.zain.com,SA,Asia,Western Asia,Saudi Arabia,,,
79.170.51.55,4,398,Ookla Speedtest Server 3208: speedtest-riyadhnew.sa.zain.com,SA,Asia,Western Asia,Saudi Arabia,Riyadh Region,,Riyadh
87.109.44.122,4,198250,Ookla Speedtest Server 16051: dam-speedtest.saudi.net.sa,SA,Asia,Western Asia,Saudi Arabia,Mecca Region,,Ta'if
5.42.226.10,4,-14821223,Ookla Speedtest Server 17373: ftthspeed-kho.itc.sa,SA,Asia,Western Asia,Saudi Arabia,Riyadh Region,,Riyadh
84.235.127.118,4,78018,Ookla Speedtest Server 24106: baha-speedtest.saudi.net.sa,SA,Asia,Western Asia,Saudi Arabia,,,
84.235.127.110,4,68751,Ookla Speedtest Server 24110: abha-speedtest.saudi.net.sa,SA,Asia,Western Asia,Saudi Arabia,,,
84.235.127.122,4,138641,Ookla Speedtest Server 24113: najran-speedtest.saudi.net.sa,SA,Asia,Western Asia,Saudi Arabia,,,
87.109.45.14,4,-112289,Ookla Speedtest Server 24115: kharj-speedtest.saudi.net.sa,SA,Asia,Western Asia,Saudi Arabia,Mecca Region,,Ta'if
195.78.233.198,4,294874,Ookla Speedtest Server 24201: jubail-speedtest.saudi.net.sa,SA,Asia,Western Asia,Saudi Arabia,,,
84.235.127.126,4,386287,Ookla Speedtest Server 24203: bisha-speedtest.saudi.net.sa,SA,Asia,Western Asia,Saudi Arabia,,,
86.51.76.236,4,322,Ookla Speedtest Server 26065: krj.myspeed.net.sa,SA,Asia,Western Asia,Saudi Arabia,Riyadh Region,,Al Kharj
86.51.25.17,4,394,Ookla Speedtest Server 26066: mdn.myspeed.net.sa,SA,Asia,Western Asia,Saudi Arabia,Medina Region,,Medina
86.51.29.190,4,421,Ookla Speedtest Server 26515: msr.myspeed.net.sa,SA,Asia,Western Asia,Saudi Arabia,Mecca Region,,Makkah
87.109.44.102,4,231320,Ookla Speedtest Server 43126: addiriyah-speedtest.saudi.net.sa,SA,Asia,Western Asia,Saudi Arabia,Mecca Region,,Ta'if
87.109.44.110,4,120655,Ookla Speedtest Server 43127: tuwaiq-speedtest.saudi.net.sa,SA,Asia,Western Asia,Saudi Arabia,Mecca Region,,Ta'if
86.51.77.205,4,397,Ookla Speedtest Server 47125: twq.myspeed.net.sa,SA,Asia,Western Asia,Saudi Arabia,Riyadh Region,,Riyadh
86.51.26.145,4,198,Ookla Speedtest Server 48995: dah.myspeed.net.sa,SA,Asia,Western Asia,Saudi Arabia,Eastern Province,,Dhahran
185.23.125.246,4,247,Ookla Speedtest Server 49906: speedtest-khamismushait.sa.zain.com,SA,Asia,Western Asia,Saudi Arabia,,,
193.19.247.10,4,36231,Ookla Speedtest Server 56246: shaqra-speedtest.saudi.net.sa,SA,Asia,Western Asia,Saudi Arabia,Mecca Region,,Makkah
