reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
185.226.161.16,4,1525,bilgimak.net,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
78.135.106.221,4,4,cetinpar.com.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
78.188.74.191,4,91,DNS Server: 78.188.74.191.static.ttnet.com.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
85.98.40.40,4,211641,DNS Server: 85.98.40.40.static.ttnet.com.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
88.247.20.13,4,16053,DNS Server: 88.247.20.13.static.ttnet.com.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
95.9.37.245,4,10,DNS Server: 95.9.37.245.static.ttnet.com.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
213.14.66.51,4,102,DNS Server: host-213-14-66-51.reverse.superonline.net,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
217.116.199.58,4,-758,dunyaenerji.org.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
95.183.213.21,4,5,erzurum.edu.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
193.140.108.140,4,25,etu.edu.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
212.154.96.250,4,95,fordyedekleri.com,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
78.135.107.41,4,3948,ha-xueli.com,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
78.135.106.187,4,18,kaleraf.com.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
217.116.199.238,4,176,kitabi.gen.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
78.135.106.49,4,21,malatyahaber.com,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
159.146.32.102,4,344,Ookla Speedtest Server 42526: speedtest06.turk.net,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
46.196.229.222,4,-1,Ookla Speedtest Server: st-atakoy-1.turksatkablo.com.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
185.226.160.220,4,-81966,pegem.net,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
212.156.70.82,4,27,sportoto.gov.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
78.135.106.104,4,89456,sultantesisat.com,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
212.156.70.122,4,-25,tuba.gov.tr,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
78.135.107.148,4,9,turkishcymbals.com,TR,Asia,Western Asia,Turkey,Ankara,,Ankara
