reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
194.124.36.68,4,2177,DNS Server: 68.36.124.194.no-ptr.as201971.net,TR,Asia,Western Asia,Turkey,Hatay,,Antakya
131.222.253.208,4,5334,Ookla Speedtest Server 18485: safa-isp.com,TR,Asia,Western Asia,Turkey,Hatay,,Antakya
185.200.36.219,4,-1,Ookla Speedtest Server 18944: speed.highspeed.com.tr,TR,Asia,Western Asia,Turkey,Hatay,,Antakya
185.200.36.168,4,-12836,Ookla Speedtest Server 41880: al-andalus-isp.com,TR,Asia,Western Asia,Turkey,Hatay,,Antakya
81.8.52.246,4,-12,Ookla Speedtest Server 61108: str01.spnet.com.tr,TR,Asia,Western Asia,Turkey,Hatay,,Reyhanlı
194.124.37.226,4,-9,Ookla Speedtest Server 64162: zdt-iptv.highspeed.com.tr,TR,Asia,Western Asia,Turkey,Hatay,,Antakya
185.200.37.34,4,-21,Ookla Speedtest Server 68918: 8a340bbf1993.sn.mynetname.net,TR,Asia,Western Asia,Turkey,Hatay,,Antakya
195.87.107.253,4,-5,Ookla Speedtest Server 69672: sp.esim-international.net,TR,Asia,Western Asia,Turkey,Hatay,,Reyhanlı
131.222.253.93,4,-2,Ookla Speedtest Server 70562: speed.lordnet.net,TR,Asia,Western Asia,Turkey,Hatay,,Antakya
212.12.157.12,4,-24,Ookla Speedtest Server 72859: speedhn.radius2online.com.tr,TR,Asia,Western Asia,Turkey,Hatay,,İskenderun
131.222.252.209,4,-276,Ookla Speedtest Server 74144: speedtest.teraisp.com,TR,Asia,Western Asia,Turkey,Hatay,,Antakya
31.223.37.82,4,1,Ookla Speedtest Server 74411: speedtest31.turk.net,TR,Asia,Western Asia,Turkey,Hatay,,Antakya
131.222.252.90,4,-8,Ookla Speedtest Server 74574: speedtest.princemj.net,TR,Asia,Western Asia,Turkey,Hatay,,Antakya
