reflector_ip,ip_version,description,country_code,country_name,region,sub_region
94.20.21.214,4,abb-bank.az,AZ,Azerbaijan,Asia,Western Asia
62.212.239.198,4,amail.az,AZ,Azerbaijan,Asia,Western Asia
85.132.18.231,4,axar.az,AZ,Azerbaijan,Asia,Western Asia
188.72.128.38,4,azerpost.az,AZ,Azerbaijan,Asia,Western Asia
85.132.18.230,4,aznews.az,AZ,Azerbaijan,Asia,Western Asia
62.212.226.85,4,aztexnika.az,AZ,Azerbaijan,Asia,Western Asia
217.64.16.132,4,baktelecom.az,AZ,Azerbaijan,Asia,Western Asia
62.212.239.142,4,bcr.az,AZ,Azerbaijan,Asia,Western Asia
94.20.94.173,4,cdek.az,AZ,Azerbaijan,Asia,Western Asia
37.26.26.70,4,citynet.az,AZ,Azerbaijan,Asia,Western Asia
95.86.135.36,4,day.az,AZ,Azerbaijan,Asia,Western Asia
95.86.135.37,4,day.az,AZ,Azerbaijan,Asia,Western Asia
85.132.85.85,4,Delta Telecom Ltd,AZ,Azerbaijan,Asia,Western Asia
62.212.244.7,4,delta-telecom.net,AZ,Azerbaijan,Asia,Western Asia
62.212.239.196,4,emlak.az,AZ,Azerbaijan,Asia,Western Asia
188.72.132.99,4,esehiyye.az,AZ,Azerbaijan,Asia,Western Asia
109.127.1.29,4,gunaybank.com,AZ,Azerbaijan,Asia,Western Asia
94.20.88.109,4,hostimul.com,AZ,Azerbaijan,Asia,Western Asia
94.20.88.99,4,hostimul.org,AZ,Azerbaijan,Asia,Western Asia
94.20.20.126,4,insure.az,AZ,Azerbaijan,Asia,Western Asia
94.20.94.178,4,ipeksu.az,AZ,Azerbaijan,Asia,Western Asia
94.20.62.50,4,irs-az.com,AZ,Azerbaijan,Asia,Western Asia
62.212.235.146,4,irshad.az,AZ,Azerbaijan,Asia,Western Asia
109.127.1.28,4,isrplaza.com,AZ,Azerbaijan,Asia,Western Asia
89.147.254.3,4,matc.az,AZ,Azerbaijan,Asia,Western Asia
94.20.152.14,4,mediabay.tv,AZ,Azerbaijan,Asia,Western Asia
94.20.71.19,4,Ookla Speedtest server: az-ix.net,AZ,Azerbaijan,Asia,Western Asia
176.28.83.17,4,Ookla Speedtest server: speedtest.bakcell.com,AZ,Azerbaijan,Asia,Western Asia
89.147.255.10,4,Ookla Speedtest server: speedtest.ivory.azstarnet.az,AZ,Azerbaijan,Asia,Western Asia
94.20.71.108,4,pizza.az,AZ,Azerbaijan,Asia,Western Asia
94.20.21.58,4,smarthost.az,AZ,Azerbaijan,Asia,Western Asia
85.132.44.43,4,sonxeber.az,AZ,Azerbaijan,Asia,Western Asia
94.20.59.14,4,ted.az,AZ,Azerbaijan,Asia,Western Asia
85.132.44.61,4,tezbazar.az,AZ,Azerbaijan,Asia,Western Asia
89.147.254.223,4,theoffice.az,AZ,Azerbaijan,Asia,Western Asia
109.127.8.253,4,turanbank.az,AZ,Azerbaijan,Asia,Western Asia
94.20.62.115,4,xalqbank.az,AZ,Azerbaijan,Asia,Western Asia
