reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
31.24.92.43,4,659378,banana.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
45.128.205.8,4,-46,blumberg.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
45.128.205.99,4,-19,cloudvps.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
193.176.182.34,4,106350,ddo.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
193.176.182.234,4,100821,dnk.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
212.98.189.128,4,5490,DNS Server: mail.zbiten.by,BY,Europe,Eastern Europe,Belarus,Minsk,,Zhodzina
193.176.182.18,4,101164,esoligorsk.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
193.176.182.166,4,106527,etprom.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
193.176.182.3,4,106027,hockey.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
193.176.182.23,4,100882,kit.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
31.24.92.38,4,-5,kopat.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
45.128.205.127,4,-40,newgrodno.ru,BY,Europe,Eastern Europe,Belarus,Minsk,,
45.129.186.38,4,-18,ognev.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
93.125.87.233,4,-38,Ookla Speedtest Server 44795: speedtest.mtis.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
45.128.205.167,4,0,ospanel.io,BY,Europe,Eastern Europe,Belarus,Minsk,,
5.44.44.227,4,-21,plantation.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
185.251.38.92,4,4,roomer.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
185.251.38.107,4,-43,ruchka.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
45.128.205.186,4,-8,shtychki.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
185.244.50.209,4,-6,staybook.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
185.251.38.119,4,23028,stihiya-shop.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
45.128.205.11,4,-23,tcb.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
193.176.182.89,4,106564,ticketpro.by,BY,Europe,Eastern Europe,Belarus,Minsk,,
193.176.182.8,4,100487,vitebsk.biz,BY,Europe,Eastern Europe,Belarus,Minsk,,
