reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
95.168.204.231,4,25,amsoft.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.192.66,4,-43,babinet.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
88.146.243.209,4,-3,DNS Server: ip-88-146-243-209.net.vodafone.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Kutná Hora
88.146.243.21,4,-3,DNS Server: ip-88-146-243-21.net.vodafone.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Kutná Hora
88.146.243.233,4,-2,DNS Server: ip-88-146-243-233.net.vodafone.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Kutná Hora
95.168.195.130,4,-6,DNS Server: nsc1.superhosting.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
37.221.246.242,4,109681,DNS Server: tlapnet-246-242.cust.tlapnet.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Čáslav
95.168.217.72,4,9,jabbim.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.210.110,4,41,kaloricketabulky.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.214.171,4,-3,mimibazar.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.214.172,4,-69,mimibazar.sk,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.195.123,4,-11,mojekolo.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.192.195,4,55,monitoring-serveru.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.210.56,4,-40,odpovedi.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.199.136,4,-66,onlajny.com,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
37.221.240.40,4,7,Ookla Speedtest Server 11363: speedtest.tlapnet.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Čáslav
85.163.117.70,4,4,Ookla Speedtest Server 61299: speedtest.sam-net.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Pertoltice
95.168.210.59,4,18,psc.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.193.83,4,22,simpleshop.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.192.193,4,-100,skrz.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.211.44,4,7,superhosting.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.192.73,4,-13,svet-oken.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.210.61,4,-82,zkratky.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.204.20,4,660,zoo-foto.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
95.168.200.69,4,-65,zubrfanklub.cz,CZ,Europe,Eastern Europe,Czechia,Central Bohemia,Kutná Hora District,Tupadly
