reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
195.113.145.10,4,7,cbvk.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Hradec Králové District,Hradec Králové
93.157.134.11,4,-4031,DNS Server: 11.134.cust.hcnet.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Jičín District,Hořice
188.75.177.162,4,17439,DNS Server: 162.177.75.188.static.dobruska.net,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Rychnov nad Kněžnou District,Dobruška
188.75.176.186,4,35,DNS Server: 186.176.75.188.static.dobruska.net,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Rychnov nad Kněžnou District,Dobruška
188.120.209.162,4,5,DNS Server: 209-ip-162.backer.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Trutnov District,Trutnov
188.120.209.62,4,419943,DNS Server: 209-ip-62.backer.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Trutnov District,Trutnov
188.75.177.218,4,32,DNS Server: 218.177.75.188.static.dobruska.net,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Rychnov nad Kněžnou District,Dobruška
93.157.134.3,4,-4051,DNS Server: 3.134.cust.hcnet.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Jičín District,Hořice
93.157.134.7,4,-4050,DNS Server: 7.134.cust.hcnet.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Jičín District,Hořice
93.157.134.8,4,-3990,DNS Server: 8.134.cust.hcnet.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Jičín District,Hořice
89.190.78.218,4,7088,DNS Server: 89-190-78-218.nsys.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Náchod District,Náchod
84.19.90.72,4,977,DNS Server: 90-72.eri.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Jičín District,Miletín
84.19.95.10,4,-7203896,DNS Server: 95-10.eri.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Jičín District,Miletín
31.133.8.141,4,11,DNS Server: gw14.rtyne.net,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Náchod District,Červený Kostelec
188.122.212.67,4,40,DNS Server: host67-212-122-188.magnalink.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Hradec Králové District,Hradec Králové
88.146.243.209,4,21,DNS Server: ip-88-146-243-209.net.vodafone.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Hradec Králové District,Hradec Králové
88.146.243.21,4,101,DNS Server: ip-88-146-243-21.net.vodafone.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Hradec Králové District,Hradec Králové
195.113.144.194,4,151,DNS Server: ns.cesnet.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Hradec Králové District,Hradec Králové
85.132.179.206,4,128,DNS Server: ns1.dobruska.net,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Hradec Králové District,Třebechovice pod Orebem
89.190.65.200,4,163,DNS Server: ns2.nsys.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Náchod District,Náchod
88.146.180.2,4,229,DNS Server: vrba.cust.net.upc.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Hradec Králové District,Hradec Králové
89.248.240.25,4,52,foreigners.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Hradec Králové District,Hradec Králové
89.248.240.49,4,8,hkfree.org,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Hradec Králové District,Hradec Králové
194.12.32.193,4,11,humlak.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Trutnov District,Trutnov
89.190.88.108,4,205,Ookla Speedtest Server 16321: speedtest.kudrnac.net,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Hradec Králové District,Černožice
176.62.225.47,4,250,Ookla Speedtest Server 20908: ookla-speedtest.hdinternet.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Trutnov District,Trutnov
31.133.8.168,4,332,Ookla Speedtest Server 38433: ookla.rtyne.net,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Náchod District,Červený Kostelec
89.190.64.6,4,8189,Ookla Speedtest Server 38880: speedtest.nsys.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Náchod District,Náchod
195.113.185.137,4,6,webk.cz,CZ,Europe,Eastern Europe,Czechia,Královéhradecký kraj,Hradec Králové District,Hradec Králové
