reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
212.92.29.4,4,12,balmazujvaros.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Balmazújváros
86.101.149.148,4,5,DNS Server: business-86-101-149-148.business.broadband.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Debrecen
89.133.95.163,4,131,DNS Server: catv-89-133-95-163.catv.fixed.vodafone.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Debrecen
89.133.95.173,4,149,DNS Server: catv-89-133-95-173.catv.fixed.vodafone.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Debrecen
193.6.173.5,4,106,DNS Server: fw2.ttre.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Debrecen
91.144.96.97,4,58,fairplayinternational.org,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Balmazújváros
91.147.234.203,4,32183,hnp.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Debrecen
45.87.112.206,4,-21955,matyas-templom.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Hajdúhadház
185.232.83.3,4,-619982,Ookla Speedtest Server 9720: gyor-speedtest.zt.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Debrecen
185.232.83.1,4,-619983,Ookla Speedtest Server 9743: nk-speedtest.zt.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Debrecen
185.232.83.2,4,-249337,Ookla Speedtest Server 9744: zeg-speedtest.zt.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Debrecen
185.232.83.0,4,-249227,Ookla Speedtest Server 28951: bp-speedtest.zt.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Debrecen
193.6.173.72,4,6,reformatus.hu,HU,Europe,Eastern Europe,Hungary,Hajdú-Bihar,,Debrecen
