reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
150.254.140.36,4,3,afera.com.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
150.254.65.170,4,79,amu.edu.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
217.168.130.197,4,6604067,DNS Server: 197.130.168.217-rev.hti.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
85.221.196.198,4,9,DNS Server: c196-198.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
85.221.199.90,4,8,DNS Server: c199-90.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
85.221.206.162,4,28406693,DNS Server: c206-162.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
85.221.206.6,4,4719,DNS Server: c206-6.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
85.221.232.10,4,8874,DNS Server: c232-10.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
85.221.234.236,4,130,DNS Server: c234-236.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
85.221.241.82,4,3466,DNS Server: c241-82.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
85.221.254.3,4,86,DNS Server: c254-3.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
94.127.107.3,4,22727,DNS Server: d107-3.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
77.65.117.250,4,-518,DNS Server: d117-250.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
77.65.121.145,4,1100,DNS Server: d121-145.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
77.65.125.42,4,7876,DNS Server: d125-42.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
77.65.126.18,4,260,DNS Server: d126-18.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
77.65.19.202,4,3,DNS Server: d19-202.static.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
77.65.21.74,4,1,DNS Server: d21-74.static.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
80.87.33.242,4,24,DNS Server: d33-242.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
77.65.37.158,4,13630,DNS Server: d37-158.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
77.65.37.178,4,182752,DNS Server: d37-178.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
80.87.39.34,4,-6589,DNS Server: d39-34.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
77.65.4.20,4,0,DNS Server: d4-20.static.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
77.65.71.50,4,12470,DNS Server: d71-50.icpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
79.188.73.184,4,9,DNS Server: hmv184.internetdsl.tpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
79.188.79.103,4,78,DNS Server: hnb103.internetdsl.tpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
79.188.86.77,4,18901,DNS Server: hni77.internetdsl.tpnet.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
185.228.111.46,4,179,DNS Server: Host-185-228-111-46.netronik.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
77.65.12.74,4,10709,DNS Server: sun5.sat.poznan.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
217.168.134.132,4,-38818846,goclever.com,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
150.254.186.161,4,69,interklasa.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
83.150.236.101,4,13,kujawsko-pomorskie.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
46.238.107.142,4,35,myloview.fr,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
46.227.241.62,4,342,Ookla Speedtest Server 14599: speedtest.systemia.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
150.254.191.162,4,7,pionier.net.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
83.150.236.177,4,39,polakoszczedza.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
150.254.186.145,4,48,poznan.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
150.254.186.218,4,45,psnc.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
46.238.107.130,4,12,redro.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
185.7.171.188,4,54,rosa-net.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
150.254.186.36,4,6,zapisyterroru.pl,PL,Europe,Eastern Europe,Poland,Greater Poland,,Poznan
