reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
195.54.188.3,4,44407,aztekium.pl,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Tarnów
213.76.118.4,4,114745,bluetechnology.pl,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Sieborowice
185.188.119.39,4,3,bojszowy.pl,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Stary Sącz
217.144.201.35,4,1932,cdrinfo.pl,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Tarnów
62.121.130.38,4,-4,dipolnet.com,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Krakow
185.45.247.105,4,-6,DNS Server: 105.unassigned.w-net.eu,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Krakow
91.200.38.109,4,-5367,DNS Server: 109.wsi.edu.pl,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Krakow
109.197.71.34,4,-6,DNS Server: 109197071034.nowysacz.vectranet.pl,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Nowy Sącz
91.189.16.81,4,1,DNS Server: 16-81.2-0.pl,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Krakow
176.103.72.103,4,-24517,DNS Server: 176-103-72-103.interkonekt.pl,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Wolbrom
176.111.124.232,4,79203162,DNS Server: 176-111-124-232.net.cybernetwmw.com,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Bolechowice
176.111.125.42,4,-1,DNS Server: 176-111-125-42.net.cybernetwmw.com,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Bolechowice
213.241.61.12,4,14393,DNS Server: 213-241-61-12.static.ip.netia.com.pl,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Krakow
185.45.244.221,4,24875,DNS Server: 221.unassigned.w-net.eu,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Krakow
83.142.190.34,4,196950,DNS Server: 34.190.142.83.hornet.pl,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Krakow
80.82.20.42,4,61058206,DNS Server: 80.82.20.43.s.net.pl,PL,Europe,Eastern Europe,Poland,Lesser Poland,,Krakow
