reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
155.133.97.77,4,43,DNS Server: 155-133-97-77.auto.m2m.net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Jeleniewo
185.156.35.141,4,48911,DNS Server: 185.156.35.141.tvkhajnowka.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bielsk Podlaski
31.135.201.244,4,18178,DNS Server: 31-135-201-244.home-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bialystok
83.175.152.217,4,36600,DNS Server: 83.175.152.217.koba.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bialystok
91.218.219.219,4,-24791746,DNS Server: 91.218.219.219.siec.idealan.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Sokółka
91.224.120.63,4,60799,DNS Server: 91.224.120.63.koba.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bialystok
91.244.188.170,4,24,DNS Server: 91.244.188.170.tvkhajnowka.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Hajnówka
89.22.38.195,4,-17010,DNS Server: auto.89-22-38-195.matrix-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Suwałki
83.13.36.190,4,-574049,DNS Server: fbk190.internetdsl.tpnet.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Łomża
5.172.188.118,4,26918,DNS Server: host118.elkman.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Łomża
5.172.188.121,4,718,DNS Server: host121.elkman.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Łomża
89.161.105.16,4,-28975906,DNS Server: ip-89-161-105-16.tel.tkb.net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Siemiatycze
89.161.50.31,4,13247,DNS Server: ip-89-161-50-31.tel.tkb.net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bialystok
77.46.113.11,4,-4569,DNS Server: PC-77-46-113-11.euro-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Turośń Kościelna
77.46.65.58,4,-21939,DNS Server: PC-77-46-65-58.euro-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bialystok
91.201.16.64,4,-3593570,DNS Server: PC-91-201-16-64.tvk-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Choroszcz
91.201.16.81,4,-3602590,DNS Server: PC-91-201-16-81.tvk-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Choroszcz
91.201.16.93,4,-3612180,DNS Server: PC-91-201-16-93.tvk-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Choroszcz
91.201.17.117,4,-3600607,DNS Server: PC-91-201-17-117.tvk-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Choroszcz
91.201.17.132,4,-3617091,DNS Server: PC-91-201-17-132.tvk-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Choroszcz
91.201.17.39,4,-3610167,DNS Server: PC-91-201-17-39.tvk-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Choroszcz
91.201.17.47,4,-3589792,DNS Server: PC-91-201-17-47.tvk-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Choroszcz
91.201.19.242,4,-3607718,DNS Server: PC-91-201-19-242.tvk-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Choroszcz
91.201.19.243,4,46,DNS Server: PC-91-201-19-243.tvk-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Choroszcz
91.225.243.247,4,198,Ookla Speedtest Server 5279: speedtest1.falconn.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Łapy
185.204.194.194,4,410,Ookla Speedtest Server 6052: sp1.tsunami.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Śniadowo
89.161.65.235,4,364,Ookla Speedtest Server 6846: testinternetu.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bialystok
91.201.18.50,4,-1405533,Ookla Speedtest Server 7073: speedtest.tvk-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Choroszcz
91.244.208.58,4,348,Ookla Speedtest Server 7547: ookla1.tvkhajnowka.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Hajnówka
83.175.144.69,4,370,Ookla Speedtest Server 42100: ookla.koba.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bialystok
31.135.197.190,4,89,Ookla Speedtest Server 47196: speedtest.home-net.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bialystok
212.33.68.5,4,23,pb.edu.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bialystok
195.117.178.13,4,10,plocman.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bielsk Podlaski
152.89.54.40,4,-239193,pronar.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Tykocin
212.33.64.74,4,1743584,s2group.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bialystok
212.33.68.2,4,365,umb.edu.pl,PL,Europe,Eastern Europe,Poland,Podlasie,,Bialystok
