reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
93.123.32.13,4,-2,112bg.com,BG,Europe,Eastern Europe,Bulgaria,,,
193.68.117.154,4,18,24x7.place,BG,Europe,Eastern Europe,Bulgaria,,,
217.174.149.136,4,0,564superbahis.com,BG,Europe,Eastern Europe,Bulgaria,,,
91.148.168.100,4,538,5bet.eu,BG,Europe,Eastern Europe,Bulgaria,,,
213.130.74.18,4,-6,a12.kz,BG,Europe,Eastern Europe,Bulgaria,Ruse,,Rousse
46.16.196.89,4,8,abrites.com,BG,Europe,Eastern Europe,Bulgaria,,,
185.176.40.195,4,7,absolutelinux.org,BG,Europe,Eastern Europe,Bulgaria,,,
194.153.145.60,4,-6,abv.bg,BG,Europe,Eastern Europe,Bulgaria,,,
194.153.145.104,4,0,abv.bg,BG,Europe,Eastern Europe,Bulgaria,,,
38.180.2.43,4,-14,academcc.ru,BG,Europe,Eastern Europe,Bulgaria,Sofia,,
185.221.64.70,4,-4,acilakuservis.com,BG,Europe,Eastern Europe,Bulgaria,,,
78.128.43.129,4,0,africanspicesafaris.com,BG,Europe,Eastern Europe,Bulgaria,Sofia-Capital,,Sofia
79.124.76.20,4,502,agencymarvel.com,BG,Europe,Eastern Europe,Bulgaria,Plovdiv,,Plovdiv
185.176.40.104,4,-14,agmglobalvision.eu,BG,Europe,Eastern Europe,Bulgaria,,,
195.42.142.12,4,1,airtravelgenius.com,BG,Europe,Eastern Europe,Bulgaria,,,
212.5.51.92,4,-2,aktivnidetsa.bg,BG,Europe,Eastern Europe,Bulgaria,,,
77.85.202.5,4,14,albena.bg,BG,Europe,Eastern Europe,Bulgaria,Pazardzhik,,Pashovi
82.118.229.98,4,-3,alo.bg,BG,Europe,Eastern Europe,Bulgaria,,,
212.5.51.47,4,-21,androidbg.com,BG,Europe,Eastern Europe,Bulgaria,,,
194.12.224.185,4,-4,antelopeaudio.com,BG,Europe,Eastern Europe,Bulgaria,,,
94.154.172.60,4,-20,apkhome.net,BG,Europe,Eastern Europe,Bulgaria,,,
195.123.224.150,4,-9,apmcontrols.com.ua,BG,Europe,Eastern Europe,Bulgaria,Sofia-Capital,,Sofia
62.204.132.48,4,-1002,arenamedia.net,BG,Europe,Eastern Europe,Bulgaria,,,
195.123.229.197,4,5,arhizorro.ru,BG,Europe,Eastern Europe,Bulgaria,Sofia-Capital,,Sofia
176.103.62.57,4,9101,arma-lux.com.ua,BG,Europe,Eastern Europe,Bulgaria,Sofia,,
91.148.141.93,4,0,arriva-personal.de,BG,Europe,Eastern Europe,Bulgaria,Sofia-Capital,,Sofia
87.121.150.37,4,-814098,art.bg,BG,Europe,Eastern Europe,Bulgaria,,,
38.180.236.73,4,6,ataccess.org,BG,Europe,Eastern Europe,Bulgaria,Sofia,,
185.176.40.159,4,1,atspace.us,BG,Europe,Eastern Europe,Bulgaria,,,
79.124.60.187,4,0,avxhm.se,BG,Europe,Eastern Europe,Bulgaria,,,
185.176.40.79,4,-18,awardspace.us,BG,Europe,Eastern Europe,Bulgaria,,,
79.98.111.208,4,-1,azbuki.bg,BG,Europe,Eastern Europe,Bulgaria,,,
78.128.8.27,4,-13665,azbukivedi-bg.com,BG,Europe,Eastern Europe,Bulgaria,,,
213.130.74.126,4,-5,b2bstart.kz,BG,Europe,Eastern Europe,Bulgaria,Ruse,,Rousse
79.124.49.34,4,81,b98.tv,BG,Europe,Eastern Europe,Bulgaria,,,
217.174.153.32,4,1,bahamasair.com,BG,Europe,Eastern Europe,Bulgaria,,,
185.176.40.116,4,5,bahraniapps.com,BG,Europe,Eastern Europe,Bulgaria,,,
91.196.126.39,4,-3,banskoski.com,BG,Europe,Eastern Europe,Bulgaria,,,
213.191.221.71,4,-1,bas.bg,BG,Europe,Eastern Europe,Bulgaria,Sofia-Capital,,Sofia
164.138.217.160,4,30,bb-team.org,BG,Europe,Eastern Europe,Bulgaria,,,
217.145.167.115,4,2,bda.bg,BG,Europe,Eastern Europe,Bulgaria,Sofia-Capital,,Sofia
185.184.62.2,4,1,belferi.com,BG,Europe,Eastern Europe,Bulgaria,,,
185.31.121.136,4,20884,benmatthews.eu,BG,Europe,Eastern Europe,Bulgaria,,,
91.230.195.86,4,-8,best-tip1x2.com,BG,Europe,Eastern Europe,Bulgaria,,,
94.156.77.42,4,6,betsty.com,BG,Europe,Eastern Europe,Bulgaria,,,
195.8.223.230,4,6,bgflash.com,BG,Europe,Eastern Europe,Bulgaria,,,
195.42.142.24,4,0,bgtop.net,BG,Europe,Eastern Europe,Bulgaria,,,
78.142.63.44,4,0,bh668.net,BG,Europe,Eastern Europe,Bulgaria,Stara Zagora,,Stara Zagora
78.128.81.116,4,29,binary-options-brokers-reviews.com,BG,Europe,Eastern Europe,Bulgaria,,,
176.103.63.187,4,19,bookmaker-expert.com,BG,Europe,Eastern Europe,Bulgaria,Sofia,,
79.124.76.25,4,761,bookmakers365.com,BG,Europe,Eastern Europe,Bulgaria,Plovdiv,,Plovdiv
195.8.222.71,4,50,bookpress.gr,BG,Europe,Eastern Europe,Bulgaria,,,
91.148.168.95,4,-27,booksbywomen.org,BG,Europe,Eastern Europe,Bulgaria,,,
87.118.170.39,4,3,borovets-bg.com,BG,Europe,Eastern Europe,Bulgaria,Plovdiv,,Plovdiv
78.128.43.55,4,-1,boxie24.com,BG,Europe,Eastern Europe,Bulgaria,Sofia-Capital,,Sofia
84.54.134.51,4,-7,btu.bg,BG,Europe,Eastern Europe,Bulgaria,Sliven,,Sliven
217.174.149.192,4,-1604,budiveren.com,BG,Europe,Eastern Europe,Bulgaria,,,
78.128.43.242,4,-6,bulgaria-hotels.com,BG,Europe,Eastern Europe,Bulgaria,Sofia-Capital,,Sofia
