reflector_ip,ip_version,offset,description,country_code,country_name,region,sub_region
46.242.232.77,4,10,105.edu.pl,PL,Poland,Europe,Eastern Europe
138.113.208.60,4,6,139y.com,PL,Poland,Europe,Eastern Europe
212.77.100.25,4,1,17bankow.com,PL,Poland,Europe,Eastern Europe
85.128.55.75,4,7,1a-werbung.at,PL,Poland,Europe,Eastern Europe
54.38.202.55,4,4,2020dodgeram.com,PL,Poland,Europe,Eastern Europe
5.187.50.6,4,-460632,24gliwice.pl,PL,Poland,Europe,Eastern Europe
188.210.222.233,4,7,2foru.pl,PL,Poland,Europe,Eastern Europe
51.68.155.39,4,5,2i.cz,PL,Poland,Europe,Eastern Europe
146.59.55.80,4,4,3kropki.pl,PL,Poland,Europe,Eastern Europe
91.228.199.73,4,4,4-bet.com.pl,PL,Poland,Europe,Eastern Europe
79.98.145.42,4,4,42.pl,PL,Poland,Europe,Eastern Europe
94.152.156.122,4,-5,4bip.pl,PL,Poland,Europe,Eastern Europe
46.242.187.10,4,10,4eproduction.com,PL,Poland,Europe,Eastern Europe
90.156.228.76,4,2,4israel.co.il,PL,Poland,Europe,Eastern Europe
109.95.152.241,4,-83824,4liberty.eu,PL,Poland,Europe,Eastern Europe
194.181.186.39,4,8,4lomza.pl,PL,Poland,Europe,Eastern Europe
185.41.71.210,4,-25770,4wall.pl,PL,Poland,Europe,Eastern Europe
185.253.215.11,4,11,59.pl,PL,Poland,Europe,Eastern Europe
138.113.210.95,4,3,6789.com,PL,Poland,Europe,Eastern Europe
94.152.226.152,4,47,6krokow.pl,PL,Poland,Europe,Eastern Europe
193.17.41.202,4,0,abczdrowie.pl,PL,Poland,Europe,Eastern Europe
188.128.173.144,4,58,abm.gov.pl,PL,Poland,Europe,Eastern Europe
91.225.28.53,4,42,absl.pl,PL,Poland,Europe,Eastern Europe
91.228.199.77,4,12,abuya.pl,PL,Poland,Europe,Eastern Europe
91.228.199.79,4,77,abweb.com.pl,PL,Poland,Europe,Eastern Europe
185.204.216.162,4,7,academyofbusiness.pl,PL,Poland,Europe,Eastern Europe
194.56.211.230,4,9,action.pl,PL,Poland,Europe,Eastern Europe
79.96.121.175,4,26,activealigner.pl,PL,Poland,Europe,Eastern Europe
79.96.77.131,4,39,add-page.com,PL,Poland,Europe,Eastern Europe
146.59.14.122,4,40,ade.pl,PL,Poland,Europe,Eastern Europe
212.85.117.250,4,36,ader.com.pl,PL,Poland,Europe,Eastern Europe
94.152.195.121,4,9,adhdev.pl,PL,Poland,Europe,Eastern Europe
79.137.9.251,4,38,adidas-superstar.fr,PL,Poland,Europe,Eastern Europe
51.83.230.104,4,4,adra.pl,PL,Poland,Europe,Eastern Europe
31.186.83.196,4,5,adresowo.pl,PL,Poland,Europe,Eastern Europe
51.38.128.105,4,36,adria-art.pl,PL,Poland,Europe,Eastern Europe
89.161.251.182,4,32,adwokatura.pl,PL,Poland,Europe,Eastern Europe
150.254.140.36,4,3,afera.com.pl,PL,Poland,Europe,Eastern Europe
89.161.251.124,4,14,aficionado.pl,PL,Poland,Europe,Eastern Europe
109.95.157.233,4,-626,afr.pl,PL,Poland,Europe,Eastern Europe
89.161.235.164,4,14,afroeuro.pl,PL,Poland,Europe,Eastern Europe
94.152.37.65,4,83,afterweb.pl,PL,Poland,Europe,Eastern Europe
79.96.219.63,4,145,agad.gov.pl,PL,Poland,Europe,Eastern Europe
146.59.92.39,4,0,ageno.pl,PL,Poland,Europe,Eastern Europe
89.161.252.163,4,81,agoniarecords.com,PL,Poland,Europe,Eastern Europe
