reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
91.206.200.100,4,7,1k.com.ua,UA,Europe,Eastern Europe,Ukraine,,,
195.137.240.100,4,10,1plus1.ua,UA,Europe,Eastern Europe,Ukraine,,,
195.137.240.80,4,5,1plus1.ua,UA,Europe,Eastern Europe,Ukraine,,,
193.47.166.145,4,17,1tvcrimea.ru,UA,Europe,Eastern Europe,Ukraine,Crimea,,
185.68.16.174,4,-11,1win-azerbaycan.az,UA,Europe,Eastern Europe,Ukraine,,,
31.41.220.94,4,6,20.ua,UA,Europe,Eastern Europe,Ukraine,,,
195.137.240.82,4,0,2plus2.ua,UA,Europe,Eastern Europe,Ukraine,,,
195.137.240.102,4,3,2plus2.ua,UA,Europe,Eastern Europe,Ukraine,,,
45.94.156.222,4,-3,30jili-casino.com,UA,Europe,Eastern Europe,Ukraine,Lviv,,Lviv
176.114.8.34,4,-8,34.ua,UA,Europe,Eastern Europe,Ukraine,Kyiv City,,
194.1.182.7,4,563,4caraudio.com.ua,UA,Europe,Eastern Europe,Ukraine,,,
185.156.42.96,4,3,4caraudio.com.ua,UA,Europe,Eastern Europe,Ukraine,,,
176.114.7.77,4,3,4mama.com.ua,UA,Europe,Eastern Europe,Ukraine,Kyiv City,,
212.111.214.34,4,6,5246.cc,UA,Europe,Eastern Europe,Ukraine,,,
212.111.214.100,4,4,5246.cc,UA,Europe,Eastern Europe,Ukraine,,,
62.182.86.117,4,97232,72media.net,UA,Europe,Eastern Europe,Ukraine,Kyiv City,,Kyiv
185.104.45.26,4,6,7910.com.ua,UA,Europe,Eastern Europe,Ukraine,,,
178.20.157.249,4,-1,7kanal.com.ua,UA,Europe,Eastern Europe,Ukraine,,,
185.104.45.50,4,-2,9-channel.com,UA,Europe,Eastern Europe,Ukraine,,,
89.184.91.217,4,-12,a-service.ua,UA,Europe,Eastern Europe,Ukraine,Kyiv City,,Kyiv
185.104.45.159,4,-2,aarhusaffairs.dk,UA,Europe,Eastern Europe,Ukraine,,,
185.104.45.185,4,-16,ab3.army,UA,Europe,Eastern Europe,Ukraine,,,
195.69.187.3,4,2,abcua.com,UA,Europe,Eastern Europe,Ukraine,,,
