reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
193.226.7.211,4,6892132,academicdirect.org,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
89.238.213.214,4,6,comunic.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
185.125.111.46,4,20,DNS Server: 185-125-111-46.static.intovps.com,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
5.2.196.32,4,-231,DNS Server: fmail.timcj.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
82.208.134.105,4,-1246,DNS Server: ip-oficiulroman-caleavictoriei118-fo.b.astral.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
89.238.213.193,4,259327,DNS Server: ip4-89-238-213-193.euroweb.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
82.208.134.197,4,5,lpf.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
81.12.229.238,4,-457302,Ookla Speedtest Server 14665: speedtestcluj.vodafone.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Sânnicoară
193.226.5.26,4,146,Ookla Speedtest Server 16918: speedtest.utcluj.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
81.12.227.186,4,1943,Ookla Speedtest Server: speedtestbucuresti.vodafone.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Sânnicoară
5.2.193.15,4,43062,radiorenasterea.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
128.0.55.124,4,11,remsimobiliare.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
188.213.217.213,4,1,szabadsag.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
193.231.20.15,4,13,ubbcluj.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
193.226.5.7,4,309241,utcluj.ro,RO,Europe,Eastern Europe,Romania,Cluj County,,Cluj-Napoca
