reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
77.81.179.15,4,22953,DNS Server: 77.81.179.15.velsat.ro,RO,Europe,Eastern Europe,Romania,Timiș County,,Timișoara
92.86.108.170,4,49,DNS Server: adsl92-86-108-170.romtelecom.net,RO,Europe,Eastern Europe,Romania,Timiș County,,Timișoara
185.232.66.211,4,12,mcm-backpacks.com.co,RO,Europe,Eastern Europe,Romania,Timiș County,,Timișoara
185.232.64.46,4,6,mklcleaningservices.co.uk,RO,Europe,Eastern Europe,Romania,Timiș County,,Timișoara
195.49.254.231,4,356,Ookla Speedtest Server 668: speedtest.bensoft.ro,RO,Europe,Eastern Europe,Romania,Timiș County,,Timișoara
185.232.64.41,4,6,raybansbocco.it,RO,Europe,Eastern Europe,Romania,Timiș County,,Timișoara
185.232.66.214,4,21,suvipvn.com,RO,Europe,Eastern Europe,Romania,Timiș County,,Timișoara
45.13.38.15,4,26,urls-shortener.eu,RO,Europe,Eastern Europe,Romania,Timiș County,,Timișoara
85.120.206.130,4,6,uvt.ro,RO,Europe,Eastern Europe,Romania,Timiș County,,Timișoara
185.232.66.215,4,26,webgraphic.ro,RO,Europe,Eastern Europe,Romania,Timiș County,,Timișoara
