reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
46.229.67.177,4,-18,adk22.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
109.195.36.198,4,4960,DNS Server: 109x195x36x198.static-business.barnaul.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
109.195.36.77,4,-8,DNS Server: 109x195x36x77.static-business.barnaul.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
176.212.120.1,4,-4360901,DNS Server: 176x212x120x1.static-business.barnaul.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
5.166.110.252,4,407,DNS Server: 5x166x110x252.dynamic.barnaul.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
5.166.98.87,4,2975,DNS Server: 5x166x98x87.static-business.barnaul.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
90.188.13.187,4,1,DNS Server: 90.188.13-187.xdsl.ab.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
90.188.14.235,4,-10448,DNS Server: 90.188.14-235.xdsl.ab.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
90.188.15.249,4,-18,DNS Server: 90.188.15-249.xdsl.ab.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
90.188.5.60,4,-4,DNS Server: 90.188.5-60.xdsl.ab.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
176.212.114.111,4,-5,DNS Server: dynamicip-176-212-114-111.pppoe.barnaul.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
176.212.124.15,4,1,DNS Server: dynamicip-176-212-124-15.pppoe.barnaul.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
176.212.127.57,4,4429,DNS Server: dynamicip-176-212-127-57.pppoe.barnaul.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
46.229.66.4,4,31447,DNS Server: host-46-229-66-4.avantel.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
46.229.67.34,4,-5,DNS Server: host-46-229-67-34.avantel.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
83.246.140.11,4,157309,DNS Server: ip-83-246-140-11.intelbi.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
83.246.141.45,4,-838917,DNS Server: ip-83-246-141-45.intelbi.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
90.188.14.127,4,-1,DNS Server: toprayon.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
109.195.32.230,4,-2,Ookla Speedtest Server 2730: speedtest.barnaul.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
83.246.237.229,4,36,price-altai.ru,RU,Europe,Eastern Europe,Russian Federation,Altai Krai,,Barnaul
