reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
78.29.44.39,4,-3,DNS Server: mail.it-sis.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
78.29.32.178,4,-8,DNS Server: pool-78-29-32-178.is74.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
78.29.33.239,4,1,DNS Server: pool-78-29-33-239.is74.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
78.29.33.39,4,15796082,DNS Server: pool-78-29-33-39.is74.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
78.29.34.23,4,19681,DNS Server: pool-78-29-34-23.is74.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
78.29.35.151,4,13271,DNS Server: pool-78-29-35-151.is74.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
78.29.37.252,4,9673,DNS Server: pool-78-29-37-252.is74.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
78.29.39.178,4,21398,DNS Server: pool-78-29-39-178.is74.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
78.29.42.130,4,37160210,DNS Server: pool-78-29-42-130.is74.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
78.29.42.156,4,16063,DNS Server: pool-78-29-42-156.is74.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
78.29.42.169,4,-3,DNS Server: pool-78-29-42-169.is74.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
78.29.42.34,4,134536,DNS Server: pool-78-29-42-34.is74.ru,RU,Europe,Eastern Europe,Russian Federation,Chelyabinsk Oblast,,Miass
