reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
87.103.174.78,4,11,10-irk.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.202.252,4,-3,banktestov.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.133.139,4,1138,DNS Server: 87-103-133-139.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.133.252,4,-699,DNS Server: 87-103-133-252.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.133.95,4,68,DNS Server: 87-103-133-95.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.134.95,4,43116,DNS Server: 87-103-134-95.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.172.10,4,9911,DNS Server: 87-103-172-10.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.172.226,4,20351,DNS Server: 87-103-172-226.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.172.246,4,7008,DNS Server: 87-103-172-246.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.192.76,4,-9990,DNS Server: 87-103-192-76-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.193.10,4,32,DNS Server: 87-103-193-10-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.196.39,4,-4831,DNS Server: 87-103-196-39-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.200.118,4,40,DNS Server: 87-103-200-118-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.200.198,4,38,DNS Server: 87-103-200-198-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.201.125,4,5154,DNS Server: 87-103-201-125-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.201.179,4,23,DNS Server: 87-103-201-179-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.203.82,4,-10801755,DNS Server: 87-103-203-82-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.203.88,4,28509,DNS Server: 87-103-203-88-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.204.110,4,-6669925,DNS Server: 87-103-204-110-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.204.60,4,674,DNS Server: 87-103-204-60-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.206.93,4,4987,DNS Server: 87-103-206-93-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.209.201,4,58,DNS Server: 87-103-209-201-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.210.160,4,24,DNS Server: 87-103-210-160-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.212.48,4,-1,DNS Server: 87-103-212-48-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.214.123,4,31399535,DNS Server: 87-103-214-123-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.214.37,4,35,DNS Server: 87-103-214-37-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.250.73,4,29,DNS Server: b-internet.87.103.250.73.snt.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.253.2,4,23518,DNS Server: b-internet.87.103.253.2.snt.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.253.55,4,-10799791,DNS Server: b-internet.87.103.253.55.snt.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.211.157,4,69,DNS Server: bmail.beltrans.stroyservis.com,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.171.16,4,-2467028833,tfomsra.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
87.103.245.112,4,18,universal-optica.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Belovo
