reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
83.239.14.34,4,-2071629022,DNS Server: choicegroup.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
185.199.9.94,4,-3116094915,DNS Server: clients9-krd-94.freedom1.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
45.157.214.92,4,-5055,DNS Server: ip-092-214-157-045.avanta-telecom.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
46.29.12.142,4,694231,DNS Server: kubancentr.com,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
46.29.12.108,4,-2,DNS Server: mail.kgkr.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
85.175.216.174,4,52037495,DNS Server: mail.yugkabel.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
31.130.138.21,4,8,expomodel.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
193.33.132.212,4,-10,gadgetstyle.com.ua,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
193.33.132.213,4,-2320,ividabar.com,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
77.233.0.76,4,2,nakubani.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
91.226.137.136,4,1,Ookla Speedtest Server 15450: speedtest.gdnet.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
77.233.4.2,4,-7,Ookla Speedtest Server 16636: speedtest.yug-link.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
185.230.243.6,4,-1,Ookla Speedtest Server 26676: pvl-speedtest.gdnet.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
185.205.239.19,4,-10,Ookla Speedtest Server 60227: test.yugit.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
46.29.11.50,4,3,Ookla Speedtest Server 67894: speedtest.dm3.hitel.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
146.158.116.242,4,279,paravia.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
91.230.54.34,4,65,readyscript.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
91.230.54.66,4,1,ross-art.su,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
91.230.54.6,4,0,rufox.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Krasnodar
