reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
158.58.131.67,4,-153,DNS Server: host-158-58-131-67.bisv.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
158.58.133.38,4,59822,DNS Server: host-158-58-133-38.bisv.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
158.58.134.90,4,113840,DNS Server: host-158-58-134-90.bisv.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
91.210.25.81,4,-30447,DNS Server: ip-025-081.users.dagotel.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
91.210.26.66,4,9476,DNS Server: ip-026-066.users.dagotel.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
91.210.26.145,4,14951,DNS Server: ip-026-145.users.dagotel.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
185.15.63.136,4,3718,DNS Server: ip-063-136.users.dagotel.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
91.210.27.68,4,9155,mkss-gk.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
91.215.91.250,4,-18,Ookla Speedtest Server 2904: speedtest.dtel.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
185.228.134.98,4,-5,Ookla Speedtest Server 11112: speedtest1.cyxym.net,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
109.235.186.251,4,5,Ookla Speedtest Server 12213: speed.bisv.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
109.248.134.212,4,14,Ookla Speedtest Server 46342: speedtest.optele.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
185.137.179.253,4,-5,Ookla Speedtest Server 68598: speedtest.giglan.pro,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
158.58.130.38,4,9,Ookla Speedtest Server: www.bisv.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
158.58.129.92,4,12,sochi-schools.ru,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
93.190.17.57,4,-4,sochi.camera,RU,Europe,Eastern Europe,Russian Federation,Krasnodar Krai,,Sochi
