reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
194.87.238.48,4,-4,aisory.tech,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
194.87.98.14,4,69,aramed.ru,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
194.87.235.36,4,9,astatix.com,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
77.91.194.104,4,37679,DNS Server: host-77.91.194.104.vernet.su,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
77.91.195.121,4,10350,DNS Server: host-77.91.195.121.vernet.su,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
77.91.196.86,4,24544,DNS Server: host-77.91.196.86.vernet.su,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
94.198.128.130,4,5528,DNS Server: host-94.198.128.130.vernet.su,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
94.198.128.198,4,58390057,DNS Server: host-94.198.128.198.vernet.su,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
94.198.133.88,4,0,DNS Server: host-94.198.133.88.vernet.su,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
94.198.134.117,4,11052,DNS Server: host-94.198.134.117.vernet.su,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
94.198.134.176,4,20654,DNS Server: host-94.198.134.176.vernet.su,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
94.198.134.179,4,1353,DNS Server: host-94.198.134.179.vernet.su,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
95.220.94.208,4,509,DNS Server: ip-95-220-94-208.bb.netbynet.ru,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
194.87.147.181,4,11,firststeps.ru,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
77.91.195.210,4,-15,kudel.ru,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
194.87.92.107,4,22,magazin-holoda.ru,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
194.87.236.104,4,-22,nedorogo-kuhni.ru,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
194.87.248.53,4,235133,nison.ru,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
77.91.199.58,4,-7,Ookla Speedtest Server 4548: speedtest.vermont-it.ru,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
194.87.101.20,4,20,original-isos.online,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
77.91.195.135,4,7,sky-water.ru,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
194.87.232.87,4,110589,sportivnoepitanie.ru,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
194.87.94.136,4,2,tardyon.ru,RU,Europe,Eastern Europe,Russian Federation,Moscow Oblast,,Korolyov
