reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
5.164.198.211,4,-350157,DNS Server: 5x164x198x211.dynamic.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
5.166.218.92,4,2699,DNS Server: 5x166x218x92.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
79.126.9.181,4,22520318,DNS Server: 79-126-9-181.dynamic.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
82.208.107.35,4,12,DNS Server: 82-208-107-35.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
82.208.72.214,4,3365,DNS Server: 82-208-72-214.dialup.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
82.208.72.235,4,158918,DNS Server: 82-208-72-235.dialup.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
82.208.76.230,4,8,DNS Server: 82-208-76-230.static-clients-net.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
82.208.71.80,4,47,DNS Server: 82.208.71.80.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.1.176,4,-30949910,DNS Server: 89-109-1-176.dynamic.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.1.202,4,83489,DNS Server: 89-109-1-202.dynamic.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.10.128,4,-10799961,DNS Server: 89-109-10-128.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.13.170,4,7,DNS Server: 89-109-13-170.dynamic.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.13.194,4,-2145671384,DNS Server: 89-109-13-194.dynamic.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.22.129,4,22582636,DNS Server: 89-109-22-129.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.22.183,4,8,DNS Server: 89-109-22-183.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.34.151,4,5,DNS Server: 89-109-34-151.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.34.173,4,-6,DNS Server: 89-109-34-173.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.34.207,4,88392,DNS Server: 89-109-34-207.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.34.95,4,-6,DNS Server: 89-109-34-95.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.35.237,4,8,DNS Server: 89-109-35-237.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.36.142,4,17665,DNS Server: 89-109-36-142.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.40.76,4,35275,DNS Server: 89-109-40-76.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.41.125,4,13189,DNS Server: 89-109-41-125.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.41.151,4,26404,DNS Server: 89-109-41-151.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.54.148,4,608,DNS Server: 89-109-54-148.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.54.152,4,2585,DNS Server: 89-109-54-152.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.54.171,4,24,DNS Server: 89-109-54-171.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.54.251,4,6037,DNS Server: 89-109-54-251.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
89.109.9.95,4,-193357,DNS Server: 89-109-9-95.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
93.120.228.226,4,27384,DNS Server: 93-120-228-226.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
93.120.239.198,4,12,DNS Server: 93-120-239-198.static.mts-nn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
93.157.254.163,4,-12,DNS Server: 93.157.254.163.dynamic.ufanet.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.117.143,4,43,DNS Server: 95x79x117x143.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.117.191,4,53,DNS Server: 95x79x117x191.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.117.227,4,-1431070053,DNS Server: 95x79x117x227.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.128.105,4,1454,DNS Server: 95x79x128x105.static.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.128.174,4,34,DNS Server: 95x79x128x174.static.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.25.107,4,43,DNS Server: 95x79x25x107.static-customer.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.29.187,4,25,DNS Server: 95x79x29x187.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.29.199,4,12,DNS Server: 95x79x29x199.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.30.44,4,3384,DNS Server: 95x79x30x44.static-customer.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.36.11,4,62,DNS Server: 95x79x36x11.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.41.169,4,7641,DNS Server: 95x79x41x169.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.48.8,4,47,DNS Server: 95x79x48x8.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.49.135,4,11653,DNS Server: 95x79x49x135.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.49.90,4,4126,DNS Server: 95x79x49x90.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.50.162,4,18,DNS Server: 95x79x50x162.static-customer.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.50.202,4,17240,DNS Server: 95x79x50x202.static-customer.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.50.31,4,47,DNS Server: 95x79x50x31.static-customer.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.53.145,4,5106,DNS Server: 95x79x53x145.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.54.108,4,1849,DNS Server: 95x79x54x108.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.55.184,4,4024,DNS Server: 95x79x55x184.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.95.207,4,6979,DNS Server: 95x79x95x207.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.95.212,4,33,DNS Server: 95x79x95x212.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.97.123,4,855,DNS Server: 95x79x97x123.static-customer.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.99.37,4,84354,DNS Server: 95x79x99x37.static-business.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.103.210,4,12348,DNS Server: dynamicip-95-79-103-210.pppoe.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.105.161,4,-304,DNS Server: dynamicip-95-79-105-161.pppoe.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.108.113,4,4029,DNS Server: dynamicip-95-79-108-113.pppoe.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.121.155,4,33460,DNS Server: dynamicip-95-79-121-155.pppoe.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.200.95,4,-1538199001,DNS Server: dynamicip-95-79-200-95.pppoe.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.37.68,4,507,DNS Server: dynamicip-95-79-37-68.pppoe.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.38.101,4,377,DNS Server: dynamicip-95-79-38-101.pppoe.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.92.168,4,31,DNS Server: dynamicip-95-79-92-168.pppoe.nn.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
5.166.218.25,4,346,DNS Server: mail.bicom.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
213.177.120.46,4,5,nntu.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.75.167,4,10,shortnr.tk,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
85.143.0.20,4,24,unn.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
95.79.122.84,4,25,vsuwt.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
82.208.97.162,4,3,zdrav-nnov.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
82.208.97.163,4,2,zdrav-nnov.ru,RU,Europe,Eastern Europe,Russian Federation,Nizhny Novgorod Oblast,,Nizhniy Novgorod
