reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
5.141.82.48,4,600,22006.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
212.33.255.222,4,3428,59ga.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
5.141.29.82,4,9090,DNS Server: 5-141-29-82.static-adsl.isurgut.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
5.141.9.126,4,17585375,DNS Server: 5-141-9-126.static-adsl.isurgut.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
5.141.87.69,4,1023,DNS Server: 5-141-97-69.static-adsl.isurgut.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
5.166.166.196,4,3449,DNS Server: 5x166x166x196.dynamic.perm.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
5.141.86.82,4,5826,DNS Server: dsl-5-141-86-82.permonline.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
212.33.244.25,4,-139,DNS Server: inetzyxel.tu,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
46.146.202.155,4,-5397,DNS Server: net202-155.perm.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
46.146.219.99,4,12025,DNS Server: net219-99.perm.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
46.146.236.38,4,318,DNS Server: radius2.testing.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
5.141.9.176,4,83712,DNS Server: sever-flot.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
212.33.237.23,4,6,gama-gama.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
46.146.239.56,4,93,gorodovaya.com,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
5.141.28.183,4,463,myopenugra.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
46.146.220.87,4,29,permraion.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
212.33.224.15,4,14,visitperm.ru,RU,Europe,Eastern Europe,Russian Federation,Perm Krai,,Perm
