reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
80.66.80.245,4,32,belnovosti.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,Belgorod
80.66.80.253,4,8,belpressa.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,Belgorod
92.51.14.87,4,-2144118585,DNS Server: 92-51-14-87.dhcp.clients.belrts.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,Belgorod
92.51.17.139,4,6088,DNS Server: 92-51-17-139.dhcp.clients.belrts.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,Belgorod
92.51.17.143,4,6087,DNS Server: 92-51-17-143.dhcp.clients.belrts.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,Belgorod
92.51.17.17,4,89,DNS Server: 92-51-17-17.dhcp.clients.belrts.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,Belgorod
176.194.20.184,4,-1,DNS Server: ip-176-194-20-184.bb.netbynet.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,Stary Oskol
79.111.113.4,4,-5,DNS Server: mail2.tushin.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,Stary Oskol
95.167.48.1,4,4594457,DNS Server: mirny.sakha.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,
80.66.80.205,4,9,escentre-online.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,Belgorod
95.167.122.30,4,-31,guns.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,
95.167.224.34,4,18,lers.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,
95.167.102.237,4,-594,medkirov.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,
95.167.102.238,4,-577,medkirov.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,
80.72.18.1,4,15958,Ookla Speedtest Server 46216: veybelspeed.pg19.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,Belgorod
80.72.22.1,4,145394,Ookla Speedtest Server 49684: rovbelspeed.pg19.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,Belgorod
146.120.203.2,4,180441,Ookla Speedtest Server 70404: speedtest.inetspace.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,
95.167.11.131,4,-22,plentycar.ru,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,
95.167.243.27,4,29,rakurs.su,RU,Europe,Eastern Europe,Russian Federation,Belgorod Oblast,,
