reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
87.103.174.78,4,1,10-irk.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
194.33.15.37,4,22,ako.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Kemerovo
176.196.178.135,4,-3429851996,DNS Server: 176-196-178-135.goodline.info,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Polysayevo
176.196.95.186,4,8040,DNS Server: 176-196-95-186.goodline.info,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Kemerovo
77.235.201.250,4,-6,DNS Server: 250.201.Novokuznetsk.ptl.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
46.181.60.86,4,12,DNS Server: 46-181-60-86.goodline.info,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Kemerovo
87.103.133.139,4,1591,DNS Server: 87-103-133-139.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.133.252,4,-139833,DNS Server: 87-103-133-252.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.133.95,4,49512466,DNS Server: 87-103-133-95.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.172.10,4,4068,DNS Server: 87-103-172-10.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.172.246,4,8605,DNS Server: 87-103-172-246.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.175.193,4,1467,DNS Server: 87-103-175-193.pppoe.irtel.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.192.76,4,-1233,DNS Server: 87-103-192-76-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.193.10,4,-424,DNS Server: 87-103-193-10-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.200.118,4,7,DNS Server: 87-103-200-118-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.200.198,4,-19,DNS Server: 87-103-200-198-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.201.179,4,-2,DNS Server: 87-103-201-179-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.203.88,4,4883,DNS Server: 87-103-203-88-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.204.60,4,204,DNS Server: 87-103-204-60-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.206.93,4,538,DNS Server: 87-103-206-93-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.210.160,4,-3,DNS Server: 87-103-210-160-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.212.48,4,-45,DNS Server: 87-103-212-48-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.214.123,4,73831766,DNS Server: 87-103-214-123-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.214.37,4,0,DNS Server: 87-103-214-37-bbc-static.kuzbass.net,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.240.61,4,35082123,DNS Server: b-internet.87.103.240.61.snt.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.245.246,4,803152,DNS Server: b-internet.87.103.245.246.snt.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
87.103.253.2,4,20549,DNS Server: b-internet.87.103.253.2.snt.ru,RU,Europe,Eastern Europe,Russian Federation,Kemerovo Oblast,,Novokuznetsk
