reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
88.200.156.102,4,68,DNS Server: 156.200.88-102.samtel.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
212.32.200.146,4,11444,DNS Server: 200.32.212-146.samtel.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
88.200.208.122,4,-10010,DNS Server: 208.200.88-122.samtel.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
212.32.219.54,4,119,DNS Server: 219.32.212-54.samtel.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
80.234.32.122,4,29,DNS Server: 32.234.80-122.samtel.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Tolyatti
80.234.32.144,4,299,DNS Server: 32.234.80-144.samtel.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Tolyatti
80.234.32.65,4,33277,DNS Server: 32.234.80-65.samtel.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Tolyatti
80.234.34.126,4,13,DNS Server: 34.234.80-126.samtel.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Tolyatti
80.234.44.209,4,58,DNS Server: 44.234.80-209.samtel.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Tolyatti
46.0.196.101,4,-202172585,DNS Server: 46x0x196x101.static-customer.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
46.0.203.200,4,16375,DNS Server: 46x0x203x200.static-customer.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
46.0.232.188,4,54723,DNS Server: 46x0x232x188.static-customer.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
5.164.130.155,4,-102384323,DNS Server: 5x164x130x155.dynamic.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
5.165.32.92,4,756,DNS Server: 5x165x32x92.dynamic.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.34.84,4,119,DNS Server: 85x113x34x84.static-business.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.35.157,4,-46626,DNS Server: 85x113x35x157.static-business.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.35.205,4,12700711,DNS Server: 85x113x35x205.static-business.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.35.55,4,4350,DNS Server: 85x113x35x55.static-business.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.36.233,4,3629791,DNS Server: 85x113x36x233.static-business.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.40.155,4,56106,DNS Server: 85x113x40x155.static-business.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.49.89,4,14,DNS Server: 85x113x49x89x.ion63.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.49.98,4,74,DNS Server: 85x113x49x98x.ion63.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.58.88,4,137562,DNS Server: 85x113x58x88.static-customer.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.60.239,4,15868,DNS Server: 85x113x60x239.static-customer.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.61.151,4,90548,DNS Server: 85x113x61x151.static-business.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
46.0.206.178,4,90494,DNS Server: dynamicip-46-0-206-178.pppoe.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.49.7,4,33833,DNS Server: dynamicip-85-113-49-7.pppoe.samara.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
81.23.178.14,4,190851,DNS Server: host-81-23-178-14.tlt.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Tolyatti
46.0.236.3,4,-583355853,DNS Server: ns2.libsmr.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
81.23.180.70,4,-406,DNS Server: osslabs.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Tolyatti
85.236.164.218,4,129970,DNS Server: p164-218.samaralan.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.236.189.196,4,124,DNS Server: p189-196.samaralan.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
83.220.87.152,4,254,DNS Server: pppoe-83-220-87-152.samtelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
80.234.104.213,4,115,DNS Server: rv-cl-80-234-104-213.pool.tolcom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
80.234.108.146,4,434,DNS Server: rv-cl-80-234-108-146.pool.tolcom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
80.234.111.180,4,91,DNS Server: rv-cl-80-234-111-180.pool.tolcom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
80.234.111.81,4,5797,DNS Server: rv-cl-80-234-111-81.pool.tolcom.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
85.113.58.91,4,6,koz-trop.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
46.61.250.218,4,412,Ookla Speedtest Server 2603: samara.speedtest.rt.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
81.22.63.45,4,248,Ookla Speedtest Server 18313: speedtest.metromax.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Samara
194.107.124.253,4,42,rosdistant.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Tolyatti
194.107.124.250,4,-6,tltsu.ru,RU,Europe,Eastern Europe,Russian Federation,Samara Oblast,,Tolyatti
