reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
176.212.201.194,4,794,DNS Server: dynamicip-176-212-201-194.pppoe.tula.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Tula Oblast,,Tula
176.212.203.236,4,540,DNS Server: dynamicip-176-212-203-236.pppoe.tula.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Tula Oblast,,Tula
212.12.18.113,4,-40398537,DNS Server: is.tula.ru,RU,Europe,Eastern Europe,Russian Federation,Tula Oblast,,Tula
212.12.17.124,4,585,DNS Server: rev-124-17-12-212.tula.net,RU,Europe,Eastern Europe,Russian Federation,Tula Oblast,,Tula
212.12.28.126,4,56862,DNS Server: rev-126-28-12-212.tula.net,RU,Europe,Eastern Europe,Russian Federation,Tula Oblast,,Tula
212.12.17.133,4,950,DNS Server: rev-133-17-12-212.tula.net,RU,Europe,Eastern Europe,Russian Federation,Tula Oblast,,Tula
212.12.31.161,4,87,DNS Server: rev-161-31-12-212.tula.net,RU,Europe,Eastern Europe,Russian Federation,Tula Oblast,,Tula
212.12.27.184,4,-1361,DNS Server: rev-184-27-12-212.tula.net,RU,Europe,Eastern Europe,Russian Federation,Tula Oblast,,Tula
212.12.31.188,4,125976,DNS Server: rev-188-31-12-212.tula.net,RU,Europe,Eastern Europe,Russian Federation,Tula Oblast,,Tula
212.12.17.241,4,-14287727,DNS Server: rev-241-17-12-212.tula.net,RU,Europe,Eastern Europe,Russian Federation,Tula Oblast,,Tula
212.12.27.29,4,-2287,DNS Server: rev-29-27-12-212.tula.net,RU,Europe,Eastern Europe,Russian Federation,Tula Oblast,,Tula
