reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
178.159.50.134,4,26,DNS Server: 178-159-50-134.tvhost.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
213.145.3.44,4,19592,DNS Server: 213-145-3-44.bb-fiber.rtelekom.net,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
31.129.140.180,4,1873,DNS Server: 31-129-140-180.tvhost.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
46.173.32.87,4,-82915091,DNS Server: 46-173-32-87.gorcom.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
46.173.46.241,4,-789,DNS Server: 46-173-46-241.gorcom.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
84.42.2.174,4,19602,DNS Server: broadband-84-42-2-174.atc.tvcom.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
84.42.20.150,4,-47692,DNS Server: broadband-84-42-20-150.atc.tvcom.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
84.42.22.178,4,102,DNS Server: broadband-84-42-22-178.atc.tvcom.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
84.42.28.175,4,17,DNS Server: broadband-84-42-28-175.atc.tvcom.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
84.42.29.98,4,1830,DNS Server: broadband-84-42-29-98.atc.tvcom.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
46.73.78.250,4,546,DNS Server: ip-46-73-78-250.bb.netbynet.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
95.220.137.106,4,-374339907,DNS Server: ip-95-220-137-106.bb.netbynet.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
213.145.5.35,4,7,pskovedu.ru,RU,Europe,Eastern Europe,Russian Federation,Tver Oblast,,Tver
