reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
217.14.193.116,4,15,ciur.ru,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
92.39.210.110,4,11,DNS Server: 210-110.izhnt.ru,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
92.39.210.30,4,107135,DNS Server: 210-30.izhnt.ru,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
94.181.95.32,4,3994,DNS Server: 94x181x95x32.static-customer.izhevsk.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.16.114,4,17094,DNS Server: a114.sub16.net78.udm.net,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.169.129,4,9833058,DNS Server: a129.sub169.net78.udm.net,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.33.129,4,6665,DNS Server: a129.sub33.net78.udm.net,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.22.141,4,109,DNS Server: a141.sub22.net78.udm.net,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.146.155,4,1243,DNS Server: a155.sub146.net78.udm.net,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.21.175,4,48,DNS Server: a175.sub21.net78.udm.net,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.32.234,4,62367,DNS Server: a234.sub32.net78.udm.net,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.37.4,4,6,DNS Server: a4.sub37.net78.udm.net,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.24.193,4,6,DNS Server: crb.balez.udmy.ru,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
94.181.73.46,4,740,DNS Server: net73.79.95-46.izhevsk.ertelecom.ru,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.55.108,4,19,ics.org.ru,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
217.14.203.193,4,10,mark-itt.ru,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.28.52,4,38,mebelson.ru,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
91.109.224.26,4,332,Ookla Speedtest Server 33964: speedtest.izhteleport.ru,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
78.85.14.96,4,186,udmedu.ru,RU,Europe,Eastern Europe,Russian Federation,Udmurtiya Republic,,Izhevsk
