reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
80.87.216.166,4,0,DNS Server: 1109.166.cus.dsidata.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Námestovo
213.81.179.186,4,-5,DNS Server: bip-static-186.213-81-179.telecom.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Dolný Kubín
213.81.179.189,4,-6,DNS Server: bip-static-189.213-81-179.telecom.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Dolný Kubín
212.5.199.108,4,3225,DNS Server: dsl-static-108.212-5-199.telecom.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Dolný Kubín
158.255.27.66,4,-1393635249,DNS Server: ns.unidathosting.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Krásno nad Kysucou
80.242.34.175,4,-1,DNS Server: poxiqueo.gaya.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Martin
87.197.174.186,4,3,DNS Server: static-bband-186.87-197-174.telecom.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Martin
213.81.188.1,4,-8,DNS Server: stip-static-1.213-81-188.telecom.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Lokca
95.105.255.169,4,647,ekomax.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Liptovský Ján
195.28.72.173,4,-68,ftv.com,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Žilina
185.254.251.6,4,-4,hzs.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Liptovský Hrádok
213.81.206.234,4,-8,kajotintacto.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Skalité
185.110.146.106,4,-88,kotlebovci.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Stará Bystrica
80.242.34.186,4,2,mestomartin.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Martin
195.3.171.154,4,3105,Ookla Speedtest Server 5185: srv1.profi-net.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Ružomberok
95.105.255.141,4,-383,Ookla Speedtest Server 15273: speedtest.stuffnet.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Liptovský Ján
80.242.36.146,4,6,Ookla Speedtest Server 23472: speed1.gaya.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Martin
31.170.64.156,4,-1,Ookla Speedtest Server 27343: speedtest.tesatel.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Žilina
95.105.255.201,4,534,Ookla Speedtest Server 28305: srv3.profi-net.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Liptovský Ján
185.242.56.5,4,0,Ookla Speedtest Server 45666: speedtest.linustep.eu,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Kysucké Nové Mesto
95.105.255.178,4,59,parksnow.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Liptovský Ján
195.28.72.155,4,-47,sashe.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Žilina
158.193.213.24,4,-55,transcom-conference.com,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Žilina
193.87.80.169,4,9,ujs.sk,SK,Europe,Eastern Europe,Slovakia,Žilina Region,,Martin
