reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
86.110.243.239,4,-11,77propeller.com,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.219,4,-5,casino-online.sk,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.232,4,-17,emaya.sk,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.51,4,3,femme.sk,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.202,4,-7,home.sk,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.229,4,6,kabocalap.com,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.42,4,3,lagotto.sk,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.209,4,2,nabasol.com,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.242.159,4,45,panako.sk,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.222,4,7,paneleshop.eu,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.36,4,1,patristica.net,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.247.133,4,398523,skpkosice.sk,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.247.132,4,398522,stolarstvokovac.sk,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.90,4,4,travelguide.sk,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.127,4,10,trnavskyhlas.sk,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
86.110.243.31,4,2,zberatel.eu,SK,Europe,Eastern Europe,Slovakia,Trnava Region,,Galanta
