reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
91.193.131.34,4,2,dnepr.com,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
85.198.128.22,4,116494,DNS Server: 128-22.trifle.net,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
217.24.175.91,4,1674,DNS Server: 217-24-175-91.dhcp.vega-ua.net,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
77.222.155.35,4,2085,DNS Server: 77-222-155-35-static.retail.datagroup.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
77.222.158.126,4,-1397126621,DNS Server: 77-222-158-126-static.retail.datagroup.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
146.158.30.143,4,1075,DNS Server: 93.171.172-143.static.likenet.dp.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
146.158.30.207,4,1266,DNS Server: 93.171.172-207.static.likenet.dp.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
94.153.203.42,4,-331,DNS Server: 94-153-203-42.ip.kyivstar.net,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
194.38.20.218,4,6,DNS Server: dns-ukraine.netvpn.net,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
85.223.233.38,4,360,DNS Server: ll-38.233.223.85.dp.sovam.net.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
194.150.107.20,4,5,dpchas.com.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
91.203.63.75,4,84,dropmefiles.com.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
95.47.123.226,4,3,keaz.com.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
195.24.145.118,4,577151,loga.gov.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
77.222.150.122,4,3,msl.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
185.181.16.18,4,136,Ookla Speedtest Server 17498: speedtest.civ.dp.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
176.101.223.114,4,292,Ookla Speedtest Server 20740: speedtest.cdc.ua,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
195.24.146.2,4,277,Ookla Speedtest Server 20953: speedtest.trifle.net,UA,Europe,Eastern Europe,Ukraine,Dnipropetrovsk Oblast,,Dnipro
