reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
81.17.134.48,4,-400,bigline.net,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
178.136.225.108,4,43,DNS Server: 178-136-225-108.static.vega-ua.net,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
159.224.13.218,4,63968326,DNS Server: 218.13.224.159.triolan.net,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
31.202.16.125,4,57054429,DNS Server: 31-202-16-125-kh.maxnet.ua,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
31.202.161.148,4,94734,DNS Server: 31-202-161-148-kh.maxnet.ua,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
31.202.168.48,4,4409,DNS Server: 31-202-168-48-kh.maxnet.ua,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
178.150.124.36,4,-223005043,DNS Server: 36.124.150.178.triolan.net,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
46.160.88.181,4,252,DNS Server: 46-160-88-181-kh.maxnet.ua,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
5.34.183.244,4,-3,DNS Server: vds-516961.hosted-by-itldc.com,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
193.105.7.135,4,-12859,kart.edu.ua,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
81.17.128.2,4,1,mbk.com.ua,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
178.165.81.20,4,0,Ookla Speedtest Server 20285: speedtest.maxnet.ua,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
46.150.0.38,4,7,Ookla Speedtest Server 30039: speedtest.skyline.kh.ua,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
46.172.90.125,4,-23,Ookla Speedtest Server 31268: sp1.yota-net.net,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
195.140.225.21,4,-2,Ookla Speedtest Server 37406: speedtest.novaline.net.ua,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
91.201.180.150,4,17,Ookla Speedtest Server 40216: speedtest.citynet.kharkiv.ua,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
159.224.43.7,4,7,Ookla Speedtest Server 51700: kharkiv.speedtest.triolan.com.ua,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
193.138.245.132,4,-2,Ookla Speedtest Server 68896: speedtest.lancomnet.net,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
5.59.170.4,4,-3,Ookla Speedtest Server 72249: speedtest.dsvl.net,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
134.249.228.3,4,-38276,Ookla Speedtest Server 72323: speedtest.kharkiv.valtrix.org,UA,Europe,Eastern Europe,Ukraine,Kharkivs’ka Oblast’,,Kharkiv
